time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/loss,train/clip_range,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/n_updates,train/clip_fraction,train/learning_rate,train/approx_kl
7841,0,100.05555555555556,2048,-213.62426349999998,1,,,,,,,,,,
5696,0,94.9047619047619,4096,-180.32229661904762,2,-0.01230931282043457,689.3118286132812,0.2,-0.009025067109178053,1627.01283121109,-1.3810713104903698,8,0.05621337890625,0.0004996586666666667,0.006839481
5300,1,94.140625,6144,-163.320018890625,3,0.14359331130981445,453.36859130859375,0.2,-0.011917238032765454,982.4413290023804,-1.373990720603615,16,0.07275390625,0.0004993173333333334,0.009517796
5132,1,93.94117647058823,8192,-154.45086147058825,4,0.08950972557067871,460.1294250488281,0.2,-0.014525504164339509,677.196426153183,-1.358494862448424,24,0.07501220703125,0.0004989759999999999,0.009385812
5033,2,92.98,10240,-134.43702804,5,0.10787957906723022,141.85678100585938,0.2,-0.014121709698883933,567.2298443317413,-1.3326529478654265,32,0.0811767578125,0.0004986346666666667,0.009075822
4906,2,94.65,12288,-117.91945020000001,6,0.0995938777923584,129.76541137695312,0.2,-0.017555986289153225,309.2118871808052,-1.3185303579084575,40,0.12921142578125,0.0004982933333333333,0.012827206
4860,2,98.21,14336,-98.68557037,7,0.3182219862937927,68.42822265625,0.2,-0.013413710625172826,159.27064388990402,-1.267008719034493,48,0.10791015625,0.000497952,0.010483765
4798,3,102.49,16384,-82.70101494999999,8,0.4228048324584961,54.05280685424805,0.2,-0.010477713993168436,114.99448151886463,-1.2405228442512453,56,0.117919921875,0.0004976106666666666,0.012823465
4747,3,109.52,18432,-69.52741659999998,9,0.6719497442245483,37.376155853271484,0.2,-0.010129962389328284,96.83595246076584,-1.220329970587045,64,0.0528564453125,0.0004972693333333333,0.009067843
4727,4,115.04,20480,-52.32028041,10,0.7189949750900269,49.61445236206055,0.2,-0.012448566871171352,130.2895465195179,-1.1898292968980968,72,0.08251953125,0.000496928,0.009564535
4682,4,123.72,22528,-40.65135660000001,11,0.8660052418708801,25.141952514648438,0.2,-0.014470464710029773,62.821306228637695,-1.1046711164526641,80,0.07891845703125,0.0004965866666666667,0.011309892
4366,5,125.99,24576,-39.31678547,12,0.8495768904685974,44.58266067504883,0.2,-0.018704942554904846,65.24198076874018,-1.0650487020611763,88,0.16162109375,0.0004962453333333334,0.01466327
3876,6,155.17,26624,-34.81362347,13,0.8420757055282593,11.155056953430176,0.2,-0.00982390505305375,54.74472980201244,-1.2118549733422697,96,0.1322021484375,0.000495904,0.01455595
3667,7,158.01,28672,-36.06505524000001,14,0.931887686252594,18.989404678344727,0.2,-0.013501453428034438,35.92187809199095,-1.2175472127273679,104,0.190185546875,0.0004955626666666667,0.017047442
3396,9,187.25,30720,-33.07168849000001,15,0.7699846625328064,10.070662498474121,0.2,-0.006044407871740987,70.80419882014394,-1.1613916726782918,112,0.12506103515625,0.0004952213333333334,0.013495277
3222,10,190.38,32768,-33.289144349999994,16,0.7766696214675903,8.315825462341309,0.2,-0.00701299958745949,76.8800163269043,-1.1632596496492624,120,0.1016845703125,0.00049488,0.011972828
3130,11,222.0,34816,-32.673076800000004,17,0.7247426509857178,42.93490219116211,0.2,-0.006399754183803452,69.89950880780816,-1.1079666032455862,128,0.0823974609375,0.0004945386666666667,0.007925967
3010,12,232.27,36864,-30.86125943,18,0.7959734201431274,44.70487976074219,0.2,-0.01360452830522263,109.35764274001122,-0.9910457069054246,136,0.12957763671875,0.0004941973333333333,0.014303053
2843,13,252.83,38912,-32.754211420000004,19,0.47505873441696167,32.566558837890625,0.2,-0.006552831967383099,120.12921343743801,-1.0075055577326566,144,0.0679931640625,0.000493856,0.012232771
2779,14,255.97,40960,-33.23317238,20,0.6148068904876709,22.29387092590332,0.2,-0.006363356969814049,102.81288006901741,-1.0011627811472863,152,0.04632568359375,0.0004935146666666667,0.0044239466
2693,15,278.53,43008,-34.1501303,21,0.6861008405685425,7.236233711242676,0.2,-0.011340492063027341,36.18344847857952,-1.0929151833988726,160,0.1219482421875,0.0004931733333333333,0.0109830545
2600,17,287.18,45056,-34.40975184,22,0.8081873655319214,17.682231903076172,0.2,-0.009204405912896618,25.663684487342834,-1.0678252493962646,168,0.1317138671875,0.000492832,0.007692535
2559,18,314.24,47104,-33.28755992000001,23,0.9077289700508118,35.22123336791992,0.2,-0.005748659892560681,31.103453930467367,-1.0077504038345069,176,0.12371826171875,0.0004924906666666667,0.0072106845
2484,19,323.02,49152,-32.529400130000006,24,0.9508342742919922,4.572001934051514,0.2,-0.009739647099195281,13.602906126528978,-1.03080067737028,184,0.166748046875,0.0004921493333333334,0.01733466
2399,21,351.68,51200,-32.27689865000001,25,0.9447364211082458,2.5424115657806396,0.2,-0.011559672999283066,6.472264649346471,-1.0777639399748296,192,0.21051025390625,0.000491808,0.014753259
2371,22,360.68,53248,-31.409301110000005,26,0.9210469126701355,11.446065902709961,0.2,-0.006378023565048352,21.11317963246256,-1.022980619687587,200,0.11138916015625,0.0004914666666666667,0.009149653
2328,23,398.93,55296,-26.199604640000004,27,0.9720655679702759,2.2150118350982666,0.2,-0.010890903544350294,6.138242560438812,-0.9971064827404916,208,0.163818359375,0.0004911253333333334,0.016340014
2308,24,398.93,57344,-26.199604640000004,28,0.7680497169494629,142.29580688476562,0.2,-0.003051549461815739,116.96767270565033,-0.8763893903233111,216,0.03106689453125,0.000490784,0.006620746
2250,26,434.71,59392,-24.724070159999997,29,0.9522002339363098,1.221463918685913,0.2,-0.0037631766017511836,4.749563783872873,-0.8840065894182771,224,0.14190673828125,0.0004904426666666668,0.017563455
2221,27,443.64,61440,-24.117049339999998,30,0.968137264251709,2.8606534004211426,0.2,-0.005528779671294615,7.458352115936577,-0.9896564425434917,232,0.1380615234375,0.0004901013333333333,0.010253808
2193,28,469.43,63488,-22.41370047,31,0.9513469934463501,2.5605363845825195,0.2,-0.0032560910731262993,7.098392373882234,-0.9134414724539965,240,0.0858154296875,0.00048976,0.006086329
2157,30,478.37,65536,-22.251425730000005,32,0.9719609618186951,2.0398480892181396,0.2,-0.006761445372831076,6.514394176192582,-0.8314623555634171,248,0.1485595703125,0.0004894186666666667,0.011293378
2128,31,504.57,67584,-19.66518798,33,0.9653975367546082,1.2493259906768799,0.2,-0.013463087394484319,3.188264978583902,-0.9330662894062698,256,0.2291259765625,0.0004890773333333334,0.018489216
