episode,reward,steps,time
1,-158.64686017976243,93,0.12813997268676758
2,-142.04458429961852,73,0.10391712188720703
3,-76.71454133555874,75,0.08506488800048828
4,-224.1075984635998,81,0.08937191963195801
5,-185.5375892002404,105,0.1203470230102539
6,-107.28593706673651,85,0.0860891342163086
7,-164.56528104892197,97,0.11157488822937012
8,-107.75753813618032,100,0.10230612754821777
9,-68.37985344346431,115,0.11877679824829102
10,-80.9431082149643,78,0.08476400375366211
11,-264.9801254540605,96,0.09770488739013672
12,-118.57628264212583,107,0.10921692848205566
13,-282.03388244909587,96,0.1234588623046875
14,-176.0929818016561,111,0.12897181510925293
15,-380.3252420873551,114,0.113861083984375
16,-135.54267867059707,67,0.06726717948913574
17,-117.78121286715155,111,0.12011408805847168
18,-107.77673708775137,95,0.10914278030395508
19,-181.26961205638986,116,0.1220710277557373
20,-78.91840281308434,64,0.06536602973937988
21,-143.1238817342342,95,0.10155606269836426
22,-121.2500908627293,89,0.0951690673828125
23,-144.01084340006173,88,0.1015160083770752
24,-342.50406853789116,106,0.18436574935913086
25,-112.05561868704687,101,0.1207878589630127
26,-141.4355018990841,96,0.1057121753692627
27,-323.10565717415295,84,0.09510684013366699
28,-186.48373916379865,87,0.10325813293457031
29,-104.92335005196837,102,0.12701678276062012
30,25.053662711714722,116,0.2841682434082031
31,-247.62238009955462,117,0.2590329647064209
32,-405.142928249107,95,0.20715117454528809
33,-480.73681344180125,95,0.10883784294128418
34,-315.29557117203285,115,0.13193821907043457
35,-248.0231459866858,80,0.09527301788330078
36,-165.88843600439935,76,0.08924102783203125
37,-138.25336582367186,76,0.12950396537780762
38,-253.81331933867398,113,0.13143229484558105
39,-79.36176339112038,71,0.08645915985107422
40,-148.4031759321044,70,0.08484888076782227
41,-119.5238646311527,106,0.12436819076538086
42,-81.99008624416103,89,0.11692595481872559
43,-148.33983168042607,71,0.08094215393066406
44,-207.112021310517,98,0.1158437728881836
45,-252.231899522492,69,0.07969522476196289
46,-84.87609112972886,79,0.1322948932647705
47,-105.31131735890676,61,0.09965705871582031
48,-222.71214416178748,75,0.14394807815551758
49,-131.39746629490662,68,0.1469707489013672
50,-167.025664115376,96,0.2520771026611328
51,-284.56820673081734,89,0.19392895698547363
52,-47.5404156942291,76,0.11056399345397949
53,-168.32157680197696,126,0.2306382656097412
54,-162.22092611467573,96,0.12273669242858887
55,-323.0628565087387,110,0.12275528907775879
56,-97.68733287079567,68,0.0747370719909668
57,-364.34705935893464,79,0.08661603927612305
58,-245.65894320744073,71,0.07584476470947266
59,-42.37501286047572,72,0.07989501953125
60,-108.42454443279371,83,0.1435542106628418
61,-109.30701488561229,70,0.0982961654663086
62,-250.2115977334816,64,0.0886080265045166
63,-328.6194018897977,117,0.142974853515625
64,-262.4920187039869,130,0.14417195320129395
65,-216.05645956098044,103,0.1215360164642334
66,-219.67568102823338,73,0.0904240608215332
67,-268.3053071192801,92,0.11976385116577148
68,-133.78478373043978,98,0.12111091613769531
69,-347.8594740452004,92,0.1044609546661377
70,-165.29144663735423,98,0.11201000213623047
71,-98.53212308187062,62,0.08041810989379883
72,-81.60997991594678,64,0.07904601097106934
73,-433.6853941684708,105,0.13415908813476562
74,-35.12895903959878,98,0.11676907539367676
75,-299.1878158294835,108,0.1159369945526123
76,-175.76244951947803,118,0.13301992416381836
77,-331.8668874904407,95,0.10838508605957031
78,-135.63807295191629,86,0.10212421417236328
79,-198.80531141352355,75,0.08479905128479004
80,-190.69684666466776,114,0.1294689178466797
81,-476.2337336448479,117,0.17173290252685547
82,-74.69117468123827,96,0.10990691184997559
83,-68.87183749053602,85,0.0985870361328125
84,-258.3338907279417,140,0.1849508285522461
85,-121.90031409466518,133,0.16243505477905273
86,-91.50002181810834,111,0.12825489044189453
87,-237.5523777836701,70,0.07660508155822754
88,-83.94151340770254,66,0.10804891586303711
89,-191.71135143101964,101,0.16013288497924805
90,-256.03806347157314,103,0.12654495239257812
91,-137.0612697960426,95,0.1090390682220459
92,-346.83991727399103,98,0.12604498863220215
93,-187.76375013227806,90,0.12797093391418457
94,-180.73391709661294,75,0.09977126121520996
95,-97.30720275788488,88,0.11695575714111328
96,-88.65976372175554,74,0.09100914001464844
97,-251.06809391443045,97,0.11544322967529297
98,-133.67381871985972,108,0.13903284072875977
99,10.946590060102807,94,0.11655998229980469
100,-74.3550033310569,109,0.13860416412353516
101,-154.86167049316958,96,0.11330413818359375
102,-139.6951353425288,112,0.12600398063659668
103,-160.24227834881503,112,0.13085126876831055
104,-85.36107627674428,89,0.1056680679321289
105,-55.74280302242351,108,0.1281580924987793
106,-106.94716708006597,82,0.08945202827453613
107,-95.25375910244951,67,0.08504509925842285
108,-311.89435658037905,121,0.13679909706115723
109,-158.38546163378496,103,0.11294198036193848
110,-121.60681780747322,99,0.10199999809265137
111,-88.1920143151326,109,0.11834311485290527
112,-128.41551640600102,139,0.14621520042419434
113,-132.01464619575387,64,0.0733799934387207
114,-19.965863627373096,127,0.1456162929534912
115,-125.07805743724585,118,0.1707911491394043
116,-244.50147824844746,100,0.1518709659576416
117,-133.34743281853468,89,0.11544394493103027
118,-72.24844353274119,60,0.07072162628173828
119,-194.07652416370053,82,0.11495184898376465
120,-297.1899165111436,98,0.11925125122070312
121,-112.76458698820693,105,0.13538193702697754
122,-96.20455346419675,73,0.10090065002441406
123,-129.17232674026906,69,0.07707715034484863
124,-109.77480782910081,71,0.08072018623352051
125,-107.49174665967445,62,0.06623506546020508
126,-117.31716186556423,119,0.14380192756652832
127,-107.25124447009023,87,0.10971498489379883
128,-15.341667916604848,135,0.15738391876220703
129,-142.91702829879097,122,0.14810395240783691
130,-122.92412973222063,117,0.1238100528717041
131,-124.0150587110373,70,0.08181619644165039
132,-84.11067917055436,138,0.1653611660003662
133,-101.6260211345134,93,0.10055708885192871
134,-248.95193124965644,127,0.1748490333557129
135,-155.4442029112252,129,0.14719319343566895
136,-130.2301715877418,101,0.2488408088684082
137,-70.38736878079777,80,0.12785100936889648
138,-101.40512650688495,69,0.0691831111907959
139,-118.85718360822247,73,0.08280181884765625
140,-124.88096188359746,91,0.09723234176635742
141,-61.68664243862395,69,0.08800411224365234
142,-64.05372890310863,109,0.13840985298156738
143,-104.74469196669637,62,0.06679511070251465
144,-399.40370428303754,87,0.0952751636505127
145,-188.16201931425314,70,0.07877397537231445
146,-103.83196061124347,95,0.14018893241882324
147,-80.09748506751528,69,0.07918691635131836
148,-124.12342312678038,117,0.1321868896484375
149,-98.53728855932685,96,0.10538792610168457
150,-136.18738850072816,65,0.07347679138183594
151,-64.6770733964882,93,0.1019430160522461
152,-188.66295479388356,91,0.10469698905944824
153,-183.53630603284273,72,0.07213020324707031
154,-68.82081398428504,102,0.10934901237487793
155,-57.04647785615891,126,0.13312315940856934
156,-125.63184886419202,82,0.08755707740783691
157,-98.8482607341439,131,0.15941500663757324
158,-84.06991180916484,122,0.15816307067871094
159,-121.90383620319322,81,0.1015329360961914
160,-59.370859922402374,65,0.0908360481262207
161,-317.0188726223721,110,0.1344451904296875
162,-116.07100458733794,72,0.07704305648803711
163,-28.983235493198336,109,0.12604689598083496
164,-127.63971941564502,134,0.17739582061767578
165,-127.32481870375665,64,0.07024192810058594
166,-260.34314282312266,100,0.1231849193572998
167,-144.09658989628966,72,0.08009004592895508
168,-261.67794009599555,101,0.11340808868408203
169,-256.6836194205215,99,0.11602306365966797
170,-106.16124117052944,116,0.13348603248596191
171,-116.00248980927161,81,0.0922689437866211
172,-316.33679343000904,130,0.14282798767089844
173,-90.37245813773774,119,0.12834715843200684
174,-115.21855813693217,100,0.1122581958770752
175,-76.96536135216778,91,0.13148021697998047
176,-78.48742442529243,91,0.12530875205993652
177,-86.00826758264378,78,0.09667801856994629
178,-138.02045567529288,102,0.10930085182189941
179,-262.88347386297124,76,0.09170389175415039
180,-211.30641409586707,99,0.16074609756469727
181,-30.391940217394932,84,0.12557721138000488
