time/total_timesteps,time/fps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/loss,train/n_updates,train/learning_rate,train/clip_fraction,train/value_loss,train/clip_range
128,4254,-95.835593,1,76.0,0,,,,,,,,,,
256,2752,-113.00482149999999,2,82.0,0,-0.013840302883181721,0.0066426056,-0.04975748062133789,-1.3834506496787071,344.8878173828125,4,0.001,0.01171875,611.3803782463074,0.2
384,2790,-225.50541325,3,87.25,0,-0.002580167492851615,0.0017069359,0.04116058349609375,-1.3799084946513176,648.8054809570312,8,0.001,0.0,1345.6303482055664,0.2
512,2803,-253.5493372,4,86.0,0,-0.004891338641755283,0.0011027507,-0.006800651550292969,-1.3719526678323746,1743.599609375,12,0.001,0.0,3281.3013458251953,0.2
640,2797,-256.4530111428571,5,90.57142857142857,0,-0.0009719348745420575,0.0005640979,0.007701992988586426,-1.3766648322343826,1185.7047119140625,16,0.001,0.0,5402.618423461914,0.2
768,2823,-264.25370225,6,90.25,0,-0.0042958640260621905,0.0005658255,0.035169363021850586,-1.3790166899561882,985.6934204101562,20,0.001,0.0,2536.301597595215,0.2
896,2829,-251.60294211111113,7,92.77777777777777,0,-0.0024144661729224026,0.0008296063,0.06206619739532471,-1.3751219362020493,1653.7586669921875,24,0.001,0.0,2467.9771423339844,0.2
1024,2832,-243.5549422,8,98.1,0,-0.007822869694791734,0.005919116,0.1139458417892456,-1.3414389714598656,507.83636474609375,28,0.001,0.0234375,797.8933124542236,0.2
1152,2848,-231.80539109090907,9,99.0,0,-0.004186865407973528,0.0017057508,0.15935206413269043,-1.3690254092216492,545.7830810546875,32,0.001,0.0,915.6908988952637,0.2
1280,2862,-218.451313,10,100.75,0,-0.011813881224952638,0.010924768,0.21764624118804932,-1.3390505388379097,243.39749145507812,36,0.001,0.072265625,508.8318042755127,0.2
1408,2866,-229.8403316153846,11,102.07692307692308,0,-0.002814447390846908,0.0010402198,-0.07070434093475342,-1.3278189226984978,270.4588623046875,40,0.001,0.0,783.99267578125,0.2
1536,2875,-225.96919649999998,12,102.57142857142857,0,0.0005336574977263808,0.00058512343,0.12716549634933472,-1.3349561840295792,809.05029296875,44,0.001,0.0,1773.0301475524902,0.2
1664,2878,-224.24951075,13,104.0,0,-0.004355757148005068,0.0032360423,0.12192130088806152,-1.3293798714876175,265.0240783691406,48,0.001,0.00390625,720.3758773803711,0.2
