time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/fps,train/entropy_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/clip_fraction,train/loss,train/policy_gradient_loss,train/value_loss,train/clip_range,train/n_updates
0,128,74.0,1,-105.623886,3957,,,,,,,,,,
0,256,79.33333333333333,2,-51.613723666666665,2610,-1.3810457065701485,0.01126253604888916,0.012261027,0.001,0.07421875,387.4692077636719,-0.024249109788797796,512.252703666687,0.2,4
0,384,83.25,3,-102.3695685,2508,-1.378698043525219,0.01219320297241211,0.0024452084,0.001,0.005859375,635.271728515625,-0.0075877554481849074,1421.49658203125,0.2,8
0,512,88.8,4,-102.670064,2518,-1.3772846013307571,-0.06512987613677979,0.000779551,0.001,0.0,896.1813354492188,-0.005245575594017282,1767.9032821655273,0.2,12
0,640,93.66666666666667,5,-114.395829,2551,-1.3696683645248413,0.025622248649597168,0.002259817,0.001,0.00390625,406.4836120605469,-0.008399238693527877,949.436840057373,0.2,16
0,768,93.0,6,-104.675792375,2589,-1.3357865288853645,-0.0417102575302124,0.0046696756,0.001,0.005859375,295.0694885253906,-0.004317093756981194,675.4811840057373,0.2,20
0,896,89.55555555555556,7,-99.82455344444445,2611,-1.350644439458847,0.07746630907058716,0.0011099931,0.001,0.001953125,490.3684387207031,-0.010556610417552292,912.1746864318848,0.2,24
0,1024,91.9090909090909,8,-118.80299545454545,2590,-1.3590489327907562,0.020725369453430176,0.0017250534,0.001,0.0,310.7630920410156,-0.0034647296997718513,652.9346446990967,0.2,28
0,1152,90.66666666666667,9,-115.31717841666666,2575,-1.3269195333123207,0.06421518325805664,0.001721974,0.001,0.0,942.2354736328125,-0.00430081901140511,1855.0859603881836,0.2,32
0,1280,91.21428571428571,10,-116.61164121428571,2578,-1.3675485402345657,0.11603045463562012,0.0012586261,0.001,0.001953125,298.01220703125,-0.004290218057576567,418.33846950531006,0.2,36
0,1408,91.53333333333333,11,-115.427477,2581,-1.3548632934689522,0.06932348012924194,0.0016246941,0.001,0.0,423.69195556640625,-0.007964871299918741,1237.4300384521484,0.2,40
0,1536,93.1875,12,-115.6901633125,2580,-1.367467924952507,0.175487220287323,0.002524593,0.001,0.0,243.7781524658203,-0.005427796859294176,420.13651752471924,0.2,44
0,1664,89.72222222222223,13,-109.35792227777779,2601,-1.3688595071434975,-0.007895827293395996,0.0005223416,0.001,0.0,313.2060546875,-0.0010195905924774706,389.9562740325928,0.2,48
0,1792,91.21052631578948,14,-106.49753236842106,2616,-1.3680302202701569,0.19704437255859375,0.0025631674,0.001,0.00390625,107.40279388427734,-0.009999399539083242,511.93277168273926,0.2,52
0,1920,92.0,15,-108.07592725000002,2632,-1.3685213327407837,0.002714872360229492,0.007178086,0.001,0.037109375,97.26858520507812,-0.014267938502598554,284.8790397644043,0.2,56
0,2048,94.23809523809524,16,-107.80374033333335,2641,-1.3288840502500534,0.0360339879989624,0.0033645672,0.001,0.00390625,246.41781616210938,-0.0075545962317846715,290.36773014068604,0.2,60
0,2176,92.82608695652173,17,-106.51471547826088,2660,-1.3461356461048126,0.01992088556289673,0.013384407,0.001,0.080078125,259.2877197265625,-0.008828935562632978,354.4622311592102,0.2,64
0,2304,94.875,18,-104.05109320833333,2661,-1.3176139444112778,0.05165368318557739,0.007129265,0.001,0.033203125,202.53726196289062,-0.02308984799310565,570.6448440551758,0.2,68
0,2432,94.08,19,-106.25246028,2676,-1.3333329483866692,0.18676704168319702,0.021809798,0.001,0.15625,39.123653411865234,-0.01608687173575163,236.77744388580322,0.2,72
0,2560,95.65384615384616,20,-107.32871092307693,2681,-1.2469178959727287,-0.15590441226959229,0.0028042365,0.001,0.0,535.2947387695312,0.0004772715619765222,1342.0745086669922,0.2,76
1,2688,97.74074074074075,21,-108.5607328888889,2684,-1.274409756064415,0.046069562435150146,0.010255059,0.001,0.044921875,244.05303955078125,-0.016116463637445122,467.2050609588623,0.2,80
1,2816,97.32142857142857,22,-107.90312467857143,2691,-1.3290325477719307,0.11092638969421387,0.004091698,0.001,0.017578125,52.99949645996094,-0.008936003316193819,365.25636291503906,0.2,84
1,2944,98.44827586206897,23,-107.62321706896552,2689,-1.3045949712395668,0.0557214617729187,0.0034302901,0.001,0.001953125,178.38583374023438,-0.011002706713043153,283.2176284790039,0.2,88
1,3072,98.4,24,-108.19423063333333,2681,-1.2719526663422585,0.15298819541931152,0.009079552,0.001,0.048828125,141.66424560546875,-0.011382081371266395,212.39342522621155,0.2,92
1,3200,99.16129032258064,25,-105.58424709677419,2682,-1.2427633628249168,0.0018326640129089355,0.011376075,0.001,0.048828125,193.54876708984375,-0.022132379468530416,351.2954635620117,0.2,96
1,3328,99.18181818181819,26,-104.23251918181818,2690,-1.2526275143027306,0.04016071557998657,0.009078945,0.001,0.037109375,150.09268188476562,-0.015397183364257216,186.3540015220642,0.2,100
1,3456,98.91176470588235,27,-104.44233467647058,2698,-1.236791469156742,0.05431973934173584,0.008102855,0.001,0.0234375,201.61328125,-0.014133764198049903,500.997257232666,0.2,104
1,3584,99.4,28,-103.77152602857142,2699,-1.2200519889593124,0.03641301393508911,0.007321807,0.001,0.056640625,336.7357482910156,-0.012236926006153226,450.0314655303955,0.2,108
1,3712,99.91891891891892,29,-103.65808405405404,2700,-1.2402969151735306,0.22154009342193604,0.015289848,0.001,0.072265625,175.18496704101562,-0.016596414847299457,236.01221418380737,0.2,112
1,3840,100.39473684210526,30,-102.29485305263157,2700,-1.244828276336193,0.07673490047454834,0.0068869623,0.001,0.037109375,308.5437316894531,-0.020562742371112108,445.37458419799805,0.2,116
1,3968,100.51282051282051,31,-101.25699605128203,2703,-1.2578050941228867,0.14753007888793945,0.011186242,0.001,0.064453125,228.1724090576172,-0.017188224708661437,234.27466416358948,0.2,120
