rollout/ep_rew_mean,time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/policy_gradient_loss,train/clip_fraction,train/loss,train/n_updates,train/approx_kl,train/value_loss,train/entropy_loss,train/clip_range,train/learning_rate,train/explained_variance
-178.42661058000002,1,12978,16384,1,91.07,,,,,,,,,,
-129.10440298,4,7281,32768,2,100.14,-0.008389597057066567,0.099859619140625,378.5389099121094,10,0.009604871,940.9447337627411,-1.3788569000083952,0.2,0.0002950848,-0.0003066062927246094
-105.05940156000001,7,6444,49152,3,105.28,-0.01459097958431812,0.17386474609375,63.47697448730469,20,0.013923522,265.48327181637285,-1.3529783848673105,0.2,0.0002901696,0.4120780825614929
-76.36876671,10,6086,65536,4,112.19,-0.020267974596481508,0.22513427734375,56.12467575073242,30,0.0151833175,94.4835522763431,-1.3131510261911898,0.2,0.0002852544,0.7200545072555542
-62.30867996999999,14,5834,81920,5,131.32,-0.023878889918159986,0.24219970703125,16.636821746826172,40,0.014902898,58.926052908599374,-1.262583133811131,0.2,0.00028033919999999996,0.8250582218170166
-56.65200427999999,17,5649,98304,6,151.38,-0.029471491693038844,0.298785400390625,13.873478889465332,50,0.015762199,33.37043552026152,-1.1928075340110809,0.2,0.00027542399999999997,0.9080134034156799
-55.18378326,20,5470,114688,7,186.13,-0.026269578749361245,0.28519287109375,7.820359706878662,60,0.015845988,29.98668824955821,-1.1182961298152805,0.2,0.0002705088,0.9208080768585205
-52.44702147000001,26,4961,131072,8,263.23,-0.02079590672856284,0.22841796875,13.144143104553223,70,0.015832996,26.452298286184668,-1.0697284780442715,0.2,0.0002655936,0.9365212321281433
-54.53637194000001,32,4526,147456,9,360.34,-0.01162059099833641,0.150799560546875,10.413283348083496,80,0.011928897,39.25935465730727,-1.1092228867579252,0.2,0.0002606784,0.9177033305168152
-40.11663858000001,39,4129,163840,10,484.05,-0.009733980060627801,0.1654541015625,11.706894874572754,90,0.01314418,35.060966682434085,-1.142631070362404,0.2,0.00025576319999999996,0.9322214722633362
-25.87772583,46,3871,180224,11,611.61,-0.013773922432483232,0.244775390625,6.37337589263916,100,0.021548636,15.918297158647329,-1.1520737127866596,0.2,0.00025084799999999997,0.9434223771095276
-11.958428890000002,53,3646,196608,12,719.01,-0.007448943690724264,0.132098388671875,3.730074644088745,110,0.0123484265,13.588452073000372,-1.0983791524078697,0.2,0.0002459328,0.9506255984306335
8.562548739999999,60,3515,212992,13,826.18,-0.00798288859987224,0.165130615234375,6.566330432891846,120,0.020702936,15.488609005976468,-1.0696910964790731,0.2,0.0002410176,0.946122944355011
31.866613610000005,66,3426,229376,14,913.33,-0.004825813950901647,0.1100830078125,11.7424898147583,130,0.015371241,24.165002157539128,-1.0109212572686375,0.2,0.0002361024,0.9198653101921082
56.965119990000005,72,3394,245760,15,950.01,-0.0046811077729216775,0.150787353515625,1.2091851234436035,140,0.018815177,10.279241458931939,-0.9972941214917228,0.2,0.00023118719999999998,0.9613585472106934
69.7048974,77,3370,262144,16,936.84,-0.0036424358277145075,0.148980712890625,1.6315727233886719,150,0.012986802,23.75069196568802,-0.9263599207624793,0.2,0.000226272,0.9185190200805664
83.51263760999998,83,3345,278528,17,919.97,-0.003698897342565033,0.12728271484375,4.222020626068115,160,0.010978667,21.122917693993077,-0.8823930297978222,0.2,0.0002213568,0.9216197729110718
101.71313660000001,88,3339,294912,18,886.61,-0.002775635169564339,0.11611328125,15.592459678649902,170,0.011762627,23.98624369800091,-0.8078997656470165,0.2,0.00021644159999999998,0.9243262410163879
132.01156214,93,3327,311296,19,826.81,-0.004129326387192123,0.162469482421875,6.2887444496154785,180,0.018573431,56.08689037323929,-0.7368240431649611,0.2,0.00021152639999999997,0.8288108110427856
152.64720796,98,3319,327680,20,737.67,-0.007648580649674841,0.162255859375,116.33570861816406,190,0.05624009,110.05049003027379,-0.6312222980661317,0.2,0.00020661119999999998,0.7073527574539185
174.2669914,103,3322,344064,21,627.55,-0.0017054357184861147,0.072015380859375,41.93583297729492,200,0.0061359135,92.64257476944476,-0.7440463618375361,0.2,0.000201696,0.7446684837341309
181.64268499999994,108,3332,360448,22,531.14,-0.003367267887551861,0.06263427734375,16.838855743408203,210,0.008261365,90.04221443738788,-0.6945754096377641,0.2,0.0001967808,0.786628246307373
199.38463815,112,3346,376832,23,471.24,-0.003714320354629308,0.061480712890625,37.83871841430664,220,0.0074741403,93.54693172778934,-0.7058180728461594,0.2,0.00019186559999999998,0.7758659720420837
205.90635607000002,117,3345,393216,24,471.23,-0.0018452814303600463,0.052099609375,34.81843185424805,230,0.004748853,62.621826459281145,-0.7306440853048116,0.2,0.00018695039999999996,0.8463153839111328
203.32973712,122,3346,409600,25,469.61,-0.00201158372901773,0.05760498046875,31.212556838989258,240,0.0054838806,57.516789050679655,-0.7045132329687476,0.2,0.00018203519999999997,0.8731886744499207
201.40721821,127,3346,425984,26,479.47,-0.0013998591970448616,0.03946533203125,15.43809700012207,250,0.0038466253,71.06526909265668,-0.69016454576049,0.2,0.00017711999999999998,0.8822213411331177
207.04757207000006,131,3358,442368,27,409.69,-0.0024335777595297257,0.063720703125,8.928224563598633,260,0.0067382436,63.89714177455753,-0.7021298831095919,0.2,0.00017220480000000002,0.8962757587432861
211.74098884000003,136,3364,458752,28,383.6,-0.002237631288153352,0.032696533203125,27.446247100830078,270,0.003965671,72.14987863190473,-0.6891825904604048,0.2,0.00016728959999999998,0.8849762678146362
213.54126069999998,141,3368,475136,29,394.16,-0.002044605510218389,0.0357666015625,18.70746421813965,280,0.004223237,75.89348781313747,-0.6824452719185501,0.2,0.00016237439999999996,0.9003779888153076
237.86180251999997,145,3378,491520,30,370.73,-0.0019026578695047647,0.0471435546875,17.301525115966797,290,0.005506173,55.98739030454308,-0.6785452607320621,0.2,0.0001574592,0.9141672253608704
232.98697394,150,3376,507904,31,376.75,-0.0023949913356773322,0.052093505859375,8.159358024597168,300,0.005600063,59.58572828471661,-0.6537671199301258,0.2,0.000152544,0.9184733629226685
219.11760673999999,155,3376,524288,32,372.26,-0.001749918094401437,0.041241455078125,20.709184646606445,310,0.004829172,48.070950968004766,-0.6674605558160692,0.2,0.0001476288,0.9209964871406555
216.49401577,159,3381,540672,33,386.26,-0.002360156582744821,0.09434814453125,32.16827392578125,320,0.007554235,62.48684850558639,-0.6784985391655937,0.2,0.0001427136,0.8803881406784058
225.77840308999998,164,3382,557056,34,382.39,-0.0023306290329401236,0.04356689453125,13.942654609680176,330,0.0045640524,54.224136215262114,-0.658255270216614,0.2,0.00013779839999999998,0.9165818691253662
219.85232787999996,169,3385,573440,35,398.42,-0.0023942095690472343,0.0578857421875,9.143876075744629,340,0.0058480315,54.06610441263765,-0.650334008433856,0.2,0.0001328832,0.9285019636154175
235.54360014999997,173,3402,589824,36,327.02,-0.0012278674767003395,0.034417724609375,44.165889739990234,350,0.0046009785,49.57356167696416,-0.651279401849024,0.2,0.000127968,0.9544877409934998
242.0643453,177,3414,606208,37,306.44,-0.002079543194531652,0.0404296875,22.956623077392578,360,0.0044797305,54.683360904082654,-0.6380341894342564,0.2,0.0001230528,0.8831011056900024
246.76764970999997,181,3425,622592,38,308.36,-0.0016453083949272695,0.0303955078125,4.662491798400879,370,0.0041275094,68.29726436007768,-0.6304857302922755,0.2,0.0001181376,0.9111024141311646
256.47344655,185,3436,638976,39,283.2,-0.0017763907440894399,0.028009033203125,13.879904747009277,380,0.0037054059,37.60090299192816,-0.6309799895621836,0.2,0.00011322239999999998,0.9223970174789429
252.82830176,189,3452,655360,40,285.06,-0.0018022704663508194,0.034722900390625,7.277302265167236,390,0.0041099414,44.478610972128806,-0.6278009175090119,0.2,0.00010830719999999999,0.9288901090621948
258.26148424,194,3452,671744,41,292.88,-0.002432932832016377,0.051873779296875,18.942970275878906,400,0.00437768,38.95533451307565,-0.6257780954474583,0.2,0.00010339199999999998,0.9312170147895813
261.54617249,198,3461,688128,42,300.4,-0.00328105162175234,0.055047607421875,12.05151081085205,410,0.005266578,38.97473449613899,-0.6324983352795244,0.2,9.847679999999999e-05,0.951035737991333
259.50742212999995,202,3473,704512,43,262.01,-0.002133008619330212,0.033807373046875,42.130165100097656,420,0.004262111,20.505053207650782,-0.6113695987965911,0.2,9.356160000000001e-05,0.9670779705047607
260.9306767300001,206,3483,720896,44,249.5,-0.002550552444245113,0.0463623046875,10.460597038269043,430,0.0056241415,46.65130175445229,-0.6192608990124426,0.2,8.864639999999998e-05,0.9286583065986633
261.74501688,211,3485,737280,45,282.83,-0.0029648829598954763,0.046771240234375,13.764118194580078,440,0.0039446354,34.72860496640205,-0.593591711926274,0.2,8.37312e-05,0.9210911989212036
263.2736380399999,215,3493,753664,46,272.82,-0.0014094979124820383,0.02481689453125,4.325291633605957,450,0.0035578785,26.525856834091247,-0.6038736287853681,0.2,7.881599999999999e-05,0.9707837700843811
263.31303154000005,219,3505,770048,47,240.14,-0.001573671849564562,0.036285400390625,22.46722984313965,460,0.0037528416,33.79387798383832,-0.5895743187400513,0.2,7.39008e-05,0.9404898881912231
262.52149188,223,3512,786432,48,245.24,-0.0019134568892695825,0.026751708984375,7.572787761688232,470,0.003048628,25.50829252433032,-0.594666795420926,0.2,6.89856e-05,0.9129100441932678
263.64058096,227,3521,802816,49,253.77,-0.0010767167446829261,0.012152099609375,11.571188926696777,480,0.0022062585,23.96414698762819,-0.5870764176826924,0.2,6.407039999999999e-05,0.9543289542198181
268.07300942,232,3528,819200,50,267.8,-0.0022471329417385276,0.029913330078125,11.622284889221191,490,0.0042372467,32.52598416972906,-0.5918591863010079,0.2,5.9155200000000006e-05,0.9569345116615295
265.20624553999994,236,3538,835584,51,243.38,-0.001651888502510701,0.027813720703125,8.72176456451416,500,0.003958091,24.997782621160148,-0.5750722777098417,0.2,5.423999999999998e-05,0.9648122191429138
260.48816438,240,3542,851968,52,287.76,-0.001974303563565627,0.035540771484375,11.766034126281738,510,0.0033434764,34.7608253499493,-0.5938602814101615,0.2,4.93248e-05,0.9577065706253052
261.12598942,244,3550,868352,53,265.77,-0.001904623322207044,0.033953857421875,13.153038024902344,520,0.004754222,33.31606673141941,-0.5763992791180499,0.2,4.440960000000001e-05,0.9755420684814453
266.8496308,248,3555,884736,54,244.93,-0.0017229156031589809,0.016796875,9.348495483398438,530,0.0029603057,50.888221892155705,-0.5760504311998375,0.2,3.949439999999999e-05,0.9393537044525146
257.0935911199999,252,3566,901120,55,220.29,-0.0018006260511810978,0.0174072265625,18.641122817993164,540,0.0027330993,40.57975676637143,-0.5583832214470021,0.2,3.457920000000001e-05,0.967003345489502
269.75759421,256,3578,917504,56,221.26,-0.001633506238613336,0.010845947265625,15.00683879852295,550,0.0023304168,91.92522895038128,-0.5347473125788383,0.2,2.966399999999999e-05,0.8710331916809082
271.66970476,260,3588,933888,57,209.94,-0.001591487547102588,0.013446044921875,6.9373579025268555,560,0.0022967283,18.63015687968582,-0.5365402586641721,0.2,2.4748800000000003e-05,0.975054919719696
276.08983492000004,264,3590,950272,58,218.19,-0.0009128273812166298,0.00550537109375,7.777318477630615,570,0.0015684657,51.957660515606406,-0.540708732989151,0.2,1.9833599999999982e-05,0.8388710021972656
272.27330447,269,3589,966656,59,222.76,-0.0005410435437624983,0.003485107421875,10.007173538208008,580,0.0015388904,29.951969733089207,-0.5292132485308685,0.2,1.4918399999999998e-05,0.93904048204422
272.27946558,273,3594,983040,60,223.71,-0.001032874525844818,0.004473876953125,25.37847900390625,590,0.0020711739,48.97961869668215,-0.5092377015622332,0.2,1.0003200000000011e-05,0.9325857162475586
266.48902250000003,277,3599,999424,61,212.31,-0.0008069300633906096,0.001446533203125,8.93667984008789,600,0.001503015,41.25106393247843,-0.5430794002022594,0.2,5.087999999999992e-06,0.948864221572876
271.28182344,281,3614,1015808,62,210.85,-1.4051152356842067e-05,0.0,21.287443161010742,610,8.689494e-07,59.219336020201446,-0.5306530840345658,0.2,1.7280000000000626e-07,0.9413421750068665
