time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/loss,train/n_updates,train/approx_kl
1636,38912,-132.81335792,23,19,103.84,0.2,0.00185546875,-0.0033917427179403605,418.8077796936035,0.4762948751449585,0.00025576319999999996,-1.3277505159378051,185.7718048095703,180,0.001571601
1640,40960,-136.82578679,24,20,106.96,0.2,0.0015625,-0.002922282705549151,529.9427215576172,0.5347788333892822,0.0002533056,-1.3267673790454864,234.28347778320312,190,0.0014813999
1644,43008,-131.32526548,26,21,105.62,0.2,0.00166015625,-0.0026038233598228546,406.3747299194336,0.5901800394058228,0.00025084799999999997,-1.3217369675636292,166.07899475097656,200,0.0015009963
1643,45056,-128.06993096,27,22,104.45,0.2,0.003515625,-0.004099784314166755,427.8970642089844,0.5352752208709717,0.0002483904,-1.3297460496425628,201.23699951171875,210,0.0017467041
1634,47104,-120.49274596000001,28,23,103.8,0.2,0.004345703125,-0.004105874453671277,219.37497940063477,0.5612908601760864,0.0002459328,-1.3058553278446197,101.70113372802734,220,0.00369253
1619,49152,-112.45149130999998,30,24,101.99,0.2,0.0103515625,-0.00712008448317647,179.65290489196778,0.6544421315193176,0.00024347519999999998,-1.2928829073905945,98.6728515625,230,0.0057662567
1618,51200,-103.98892593000002,31,25,111.94,0.2,0.004150390625,-0.0033793644048273563,277.74073600769043,0.47217172384262085,0.0002410176,-1.2564421772956849,112.92102813720703,240,0.0027817413
1617,53248,-94.26451342999997,32,26,119.43,0.2,0.008544921875,-0.006040718511212617,345.86219253540037,0.5898463726043701,0.00023856,-1.2221808046102525,162.46958923339844,250,0.0029905073
1618,55296,-87.23017806,34,27,124.61,0.2,0.00849609375,-0.005693004175554961,239.32328300476075,0.4632834196090698,0.0002361024,-1.244511342048645,116.0517578125,260,0.006164416
1614,57344,-88.72640728,35,28,133.16,0.2,9.765625e-05,-0.0021783077856525777,564.1111129760742,0.45354294776916504,0.00023364479999999998,-1.1867985755205155,413.49981689453125,270,0.0010359893
1605,59392,-89.78041198000001,36,29,138.39,0.2,0.004296875,-0.004677668499061838,357.7319923400879,0.4757397770881653,0.00023118719999999998,-1.1740783512592317,185.05467224121094,280,0.0028003668
1594,61440,-86.24073305,38,30,152.5,0.2,0.0140625,-0.0053068669745698575,178.2706470489502,0.6854685544967651,0.00022872959999999999,-1.1143737852573394,74.88197326660156,290,0.0056662736
1590,63488,-89.96634038,39,31,160.74,0.2,0.044677734375,-0.006725036923307925,358.97123260498046,0.5169857740402222,0.000226272,-1.133737489581108,172.06907653808594,300,0.008469339
1582,65536,-87.53423638000002,41,32,170.97,0.2,0.000146484375,-0.0015570450690574945,540.6480674743652,0.6355425715446472,0.0002238144,-1.1209439218044281,243.98455810546875,310,0.00076085934
