episode,reward,time_seconds,steps
1,-134.2429,0.3008,61
2,-276.3676,0.3334,69
3,-213.3411,0.3521,74
4,-156.8165,0.3736,80
5,-147.6273,0.3950,86
6,-379.9796,0.4095,90
7,-58.3284,0.5603,132
8,-344.9821,0.5643,133
9,-83.7715,0.2386,66
10,-94.8430,0.3636,100
11,-103.4123,0.2733,76
12,-185.2397,0.3944,108
13,-290.4417,0.4118,112
14,-114.9586,0.4373,119
15,-134.1643,0.2951,80
16,-93.0065,0.3145,85
17,-243.5745,1.1400,125
18,-89.0694,0.8897,58
19,-95.3769,1.0812,109
20,-91.0898,1.0096,91
21,-198.5598,1.0766,108
22,-266.5270,1.0383,101
23,-91.8131,1.0104,94
24,-203.9613,0.2421,71
25,-133.6654,0.2471,73
26,-499.1792,1.1548,137
27,-358.9079,0.3537,104
28,-134.9179,0.3486,103
29,-278.3211,0.3591,106
30,-279.8710,0.3253,94
31,-452.5690,0.2991,84
32,-37.6536,0.2797,73
33,-114.4379,0.3231,81
34,-122.1991,0.3151,77
35,-86.6098,0.2507,60
36,-242.0789,0.5348,137
37,-309.3314,0.4332,106
38,-399.3111,0.4539,112
39,-57.0710,0.3454,89
40,-268.4355,0.4902,124
41,-110.1359,0.6102,75
42,-382.9940,0.7670,118
43,-135.1602,0.7069,104
44,-155.2100,0.5900,73
45,-258.2692,0.6928,102
46,-76.8974,0.6620,94
47,-95.3940,0.2398,69
48,-416.2636,0.6870,103
49,-76.5629,0.2356,69
50,-118.2010,0.2715,79
51,-133.0316,0.2103,61
52,-376.3163,0.8538,149
53,30.1827,0.2489,71
54,-207.5046,0.4200,120
55,-218.8883,0.2557,71
56,-325.6339,0.4556,131
57,-85.6772,0.2189,62
58,-114.4526,0.3088,87
59,-363.5151,0.2691,76
60,-38.9550,0.2622,76
61,-76.6492,0.2127,63
62,-274.6966,0.6947,111
63,-147.2665,0.6127,88
64,-85.6090,0.5375,66
65,-136.8816,0.5752,77
66,-53.8625,0.5745,77
67,-276.1418,0.7240,121
68,-354.8416,0.6268,93
69,-98.4766,0.1935,58
70,-547.4707,0.6798,108
71,-177.5886,0.3042,90
72,-359.4733,0.2740,81
73,-41.7375,0.3617,107
74,-340.8084,0.3787,112
75,-75.1840,0.2692,79
76,-238.4130,0.3807,113
77,-373.8178,0.3195,94
78,-234.1631,0.2517,75
79,-306.0731,0.3025,90
80,-379.6183,0.3043,91
81,-142.6492,0.3445,103
82,-357.9243,0.2981,89
83,-419.4553,0.3624,108
84,-198.9007,0.5982,83
85,-197.7699,0.5999,83
86,-249.5099,0.9122,176
87,-152.1790,0.5439,66
88,-154.2275,0.7869,138
89,-128.6723,0.7544,122
90,-199.2213,0.2518,68
91,-339.0499,0.6944,104
92,-234.9112,0.8340,145
93,-87.4905,0.2441,65
94,-137.6682,0.4297,119
95,-195.9829,0.4337,119
96,-118.7081,0.4214,116
97,-82.7907,0.2751,78
98,-112.7417,0.2966,84
99,-99.9248,0.2993,85
100,-120.4895,0.3461,98
101,-115.8549,0.3706,105
102,-75.2014,0.2081,59
103,-539.2773,0.3817,108
104,-92.1909,0.2640,75
105,-439.8561,0.3169,90
106,-204.1666,0.6994,99
107,-226.7509,0.7171,104
108,-114.1363,0.7840,123
109,-128.3276,0.7030,100
110,-293.2545,0.6789,93
111,-272.1446,0.7139,105
112,-28.2322,0.7630,119
113,-337.6596,0.2691,79
114,-320.7469,0.7758,123
115,-113.2279,0.2759,81
116,-84.5689,0.2574,76
117,-80.1524,0.2446,71
118,-135.1617,0.2176,63
119,-220.7894,0.2656,77
120,-78.6605,0.1944,56
121,-252.9601,0.5548,159
122,-273.3034,0.4126,109
123,-71.0445,0.2758,62
124,-75.5153,0.5025,127
125,-93.4714,0.3374,79
126,-369.8588,0.7915,115
127,-34.2253,0.5479,62
128,-129.8437,0.6751,91
129,-99.2103,0.5611,66
130,-306.3180,0.9377,156
131,-94.0017,0.8221,125
132,-221.2805,0.2734,75
133,-106.7129,0.7229,110
134,-134.4808,0.3014,82
135,-102.0705,0.3449,94
136,-211.6733,0.3327,90
137,-137.7104,0.3761,102
138,-319.9713,0.3851,104
139,-350.9945,0.3220,84
140,-95.5941,0.3501,91
141,-93.9671,0.3217,83
142,-68.1428,0.4657,120
143,-147.6859,0.7338,107
144,-148.9191,0.6876,94
145,-67.2093,0.6241,79
146,-466.2774,0.8506,136
147,-96.3965,0.7006,98
148,-153.4260,0.7352,106
149,-165.8632,0.2614,65
150,-117.7033,0.3264,81
151,-81.2629,0.7691,113
152,-116.2433,0.2948,73
153,-193.9101,0.3633,90
154,-80.7363,0.5006,124
155,-99.0603,0.2769,68
156,-120.6751,0.3783,93
157,-116.2775,0.4434,108
158,-128.7714,0.3703,89
159,-231.4785,0.4134,99
160,-179.6379,0.4812,113
161,-243.0208,0.4305,100
162,-231.3282,0.2815,64
163,-228.0846,0.4155,96
164,-192.4796,0.8122,114
165,-147.6213,0.7027,87
166,-204.1142,0.7306,93
167,-85.1706,0.2749,62
168,-4.6582,0.7545,99
169,-136.8941,0.7071,88
170,-187.0525,0.7159,90
171,-224.2254,0.7548,99
172,-289.7612,0.3064,68
173,-196.4891,0.4182,93
174,-99.5883,0.3484,77
175,-125.4296,0.4401,97
176,-252.3406,0.5050,110
177,-126.1034,0.4082,89
178,-77.8984,0.5381,117
179,-257.0562,0.6111,132
180,-80.7436,0.3985,85
181,-87.8027,0.2975,62
182,-112.0868,0.7050,81
183,-108.2132,0.6451,69
184,-115.2729,0.7050,81
185,68.6389,5.3697,1000
186,-203.6455,1.1181,122
187,-236.8214,1.0383,108
188,-155.3917,0.9889,102
189,-152.3795,0.9695,98
190,-144.8469,0.4801,71
191,-69.9121,0.5116,82
192,-148.3041,0.5776,102
193,-106.1972,0.6108,109
194,-44.6905,0.2173,66
195,-124.8074,0.2406,73
196,-154.0100,0.3982,120
197,-19.3732,0.2004,60
198,-85.0607,0.2565,77
199,-233.5117,0.4892,146
200,-82.7236,0.2563,75
201,-277.8483,0.3118,92
202,-109.0841,0.2450,72
203,-144.8652,0.4213,125
