episode,reward,steps,time
1,-227.42928601741528,114,0.263965368270874
2,-326.84239420617695,96,0.12298083305358887
3,-84.13022066926924,96,0.11814999580383301
4,-96.07333851904387,122,0.13969111442565918
5,-165.3640340024949,132,0.14850592613220215
6,-194.28173534210944,96,0.10332298278808594
7,-149.8696008985989,80,0.08475399017333984
8,-106.41069424172886,106,0.11646890640258789
9,-118.7884622287316,137,0.1570749282836914
10,-118.3532779996307,127,0.13463282585144043
11,-292.08431962023326,131,0.1342771053314209
12,-102.92276473388257,70,0.07056903839111328
13,-328.86849324747703,86,0.08907127380371094
14,-298.65003433411914,89,0.12916111946105957
15,-193.67366949924522,89,0.18339180946350098
16,-160.7772308927091,121,0.24553894996643066
17,-426.9858350057586,136,0.26836609840393066
18,-393.54284312314945,119,0.12228727340698242
19,-115.07917024141379,135,0.13610005378723145
20,-212.4545204167782,67,0.06780743598937988
21,-415.59985084428166,114,0.11342477798461914
22,-264.52802201460577,76,0.08082413673400879
23,-61.968802032807034,62,0.06422710418701172
24,-137.93656052262367,85,0.08522820472717285
25,-96.36713220781971,66,0.07059383392333984
26,-99.87597942945767,88,0.08990001678466797
27,-161.45466169026037,97,0.09317278861999512
28,62.047683600969584,1000,1.0523090362548828
29,-316.53103788547014,90,0.09048604965209961
30,-248.87600690788653,103,0.10707998275756836
31,-111.36000472127392,86,0.09575200080871582
32,-92.15962912633233,74,0.08765292167663574
33,-391.28373333221475,85,0.10192418098449707
34,-130.35813974652925,88,0.09105515480041504
35,-199.1546752273171,66,0.07375478744506836
36,-105.74715515270009,66,0.08011126518249512
37,-131.35925796479435,57,0.05851006507873535
38,-82.91122766912946,115,0.11277914047241211
39,-183.46232834932286,67,0.06774091720581055
40,-218.3666323908194,98,0.1057882308959961
41,-375.62935025393256,104,0.10947203636169434
42,-74.46109266294289,95,0.10185694694519043
43,-123.61406854454698,98,0.10895371437072754
44,-183.56148581144424,110,0.11757993698120117
45,-160.68607628120577,70,0.07371091842651367
46,-95.70411602786864,107,0.11366915702819824
47,-100.90881471960255,119,0.12252998352050781
48,-77.31247603580124,77,0.08146786689758301
49,-98.48298239710874,109,0.12737679481506348
50,-95.50666687495637,68,0.09006595611572266
51,-111.51548299548872,81,0.09286332130432129
52,-184.50606612445205,72,0.07735705375671387
53,-111.95383360283171,85,0.08929109573364258
54,-210.05564605379735,110,0.16273903846740723
55,-85.17442149234492,87,0.11256790161132812
56,-165.0496933972588,91,0.11232376098632812
57,-206.899481651139,134,0.218552827835083
58,-105.99606030944774,94,0.16089510917663574
59,-195.0699759744798,107,0.14659810066223145
60,-139.45288710705336,96,0.12293100357055664
61,-88.91120131247332,77,0.08686995506286621
62,-164.26441172506208,122,0.1532120704650879
63,-316.13573071846736,91,0.1062779426574707
64,-187.7446768815644,57,0.06203794479370117
65,-72.58710234573354,147,0.21561813354492188
66,-334.1062050881267,105,0.12823820114135742
67,-306.92807102466566,105,0.11488819122314453
68,-215.92937429000028,72,0.07275509834289551
69,-105.0678231063294,64,0.08822917938232422
70,-258.0900723247597,115,0.17986512184143066
71,-150.92263518268874,93,0.10624909400939941
72,-243.95302777137147,110,0.13375186920166016
73,-113.57833257556204,72,0.11292076110839844
74,-143.08404454852803,116,0.1495659351348877
75,-121.2388339792861,108,0.12366724014282227
76,-88.20041779607409,66,0.11963200569152832
77,-348.72989186816517,100,0.16962814331054688
78,-130.48242668572482,66,0.08398890495300293
79,-121.9038044785843,109,0.12854981422424316
80,-110.30890774340824,91,0.12653279304504395
81,-160.2597948008543,86,0.09784889221191406
82,-118.49788977910806,68,0.06995320320129395
83,-315.7611147412655,106,0.11314201354980469
84,-106.77026101116658,86,0.0999140739440918
85,-120.63735313520044,102,0.13972902297973633
86,-99.76036362720444,93,0.11731505393981934
87,-299.0971084441904,148,0.20088887214660645
88,-138.5104156372148,98,0.12335491180419922
89,-276.9787423884939,76,0.08184480667114258
90,-250.9002319437553,151,0.25990986824035645
91,-64.409690223616,95,0.256561279296875
92,-177.57746244007672,117,0.14238691329956055
93,-78.51962876728534,67,0.11288714408874512
94,-328.4363941842105,97,0.13719797134399414
95,-149.0081228474718,66,0.08268499374389648
96,-101.89793061069246,109,0.1402428150177002
97,-158.71957813929873,88,0.12043118476867676
98,-130.87800097549646,103,0.12169504165649414
99,-95.22231727810171,138,0.174346923828125
100,-65.932158759893,67,0.07489371299743652
101,-111.10127907790694,121,0.18211817741394043
102,-280.6575997693047,72,0.09265613555908203
103,-187.72266240016916,117,0.15551185607910156
104,-319.834707370478,74,0.07958602905273438
105,-264.18376632693503,100,0.10235595703125
106,-59.764034934992466,67,0.06512784957885742
107,-109.60999885048568,79,0.08320212364196777
108,-399.39984806623613,114,0.11363387107849121
109,-95.72562877465845,93,0.1050271987915039
110,-177.09120118472404,84,0.09578084945678711
111,-370.4945162280127,105,0.10870695114135742
112,-89.39012093326787,57,0.05588507652282715
113,-129.50385347616816,128,0.1575009822845459
114,-379.5503239915738,96,0.09438896179199219
115,-81.57266213420559,98,0.09703278541564941
116,-155.09052564487547,91,0.09909200668334961
117,-330.98591994959844,108,0.11156225204467773
118,-277.4658016535157,115,0.1148228645324707
119,-83.7846415980048,82,0.0872650146484375
120,-67.92084780953937,109,0.11327099800109863
121,-285.14204604863284,118,0.11990594863891602
122,-128.3456455439184,65,0.06297492980957031
123,-134.24411709687124,114,0.11531805992126465
124,-182.45448320834402,72,0.07547116279602051
125,-191.79201545491196,93,0.09373879432678223
126,-322.4113914130256,103,0.10900712013244629
127,-138.1601016195744,133,0.13918781280517578
128,-124.42534231033211,83,0.10461306571960449
129,-293.99681313347514,82,0.09329795837402344
130,-318.2324876756162,108,0.11426520347595215
131,-110.3587312291047,109,0.14172601699829102
132,-131.23420166683644,113,0.13636207580566406
133,-188.10364412367585,86,0.09469223022460938
134,-204.01236650260154,106,0.13510704040527344
135,-127.2370043703222,70,0.09284687042236328
136,-85.97565805920553,77,0.08561301231384277
137,-330.29547956333215,81,0.0866391658782959
138,-126.47181544178737,88,0.09552383422851562
139,-113.53384142249836,110,0.12347793579101562
140,-107.82772784135771,69,0.06941390037536621
141,-244.84642478679973,107,0.11583781242370605
142,-121.55889997536696,62,0.06442070007324219
143,-18.835015422607327,75,0.07940983772277832
144,-272.1096690635011,82,0.08606791496276855
145,-41.60966293985901,113,0.11205196380615234
146,-272.1837629389298,111,0.11013102531433105
147,-184.38801883406657,63,0.07054686546325684
148,-92.02651371890632,103,0.1134650707244873
149,-61.06577190361232,66,0.07049679756164551
150,-142.7160139764465,89,0.0888371467590332
151,-97.41418850976335,106,0.12115192413330078
152,-248.03267576620675,74,0.07261896133422852
153,-210.85955631164552,70,0.07586812973022461
154,-269.16826846777246,108,0.11678099632263184
155,-84.06032971585775,93,0.09521007537841797
156,-75.48209152484316,90,0.09127974510192871
157,-202.68260131283137,92,0.09136486053466797
158,-125.54320146577571,90,0.09926486015319824
159,-66.28109763005553,68,0.0735769271850586
160,-155.61033873764416,77,0.10136914253234863
161,-310.5722650069579,84,0.10663700103759766
162,-289.25061809625583,101,0.11270999908447266
163,-93.40091993615009,115,0.14663290977478027
164,-286.9849335476806,89,0.1111140251159668
165,-172.4164762475582,87,0.1339421272277832
166,-107.96627966862053,64,0.07531023025512695
167,-101.96646961217587,100,0.1275010108947754
168,-115.65400112992998,77,0.12129783630371094
169,-94.0164000378706,74,0.11704874038696289
170,-118.89072653730406,68,0.0847938060760498
171,-83.80674622545871,67,0.0831000804901123
172,-218.29555360861943,89,0.15718507766723633
173,-124.28894684193014,99,0.13590216636657715
174,-135.18275324760592,98,0.11198902130126953
175,-44.58625045233482,124,0.1336970329284668
176,-84.84687848288061,104,0.11611700057983398
177,-317.043639997676,139,0.14953303337097168
178,-129.84809204591357,95,0.10341978073120117
179,-216.74152737038872,79,0.08228611946105957
180,-151.3101190388045,152,0.18915104866027832
181,-131.96819026664997,108,0.12112712860107422
182,-68.9682619487601,59,0.05858325958251953
183,-100.65956172353185,68,0.07820010185241699
184,-355.12734468522785,82,0.08681917190551758
185,-136.75756062612885,85,0.09194588661193848
186,-195.8258960791842,120,0.12006974220275879
187,-185.38911533426432,116,0.11664485931396484
188,-102.37769508033017,84,0.08639097213745117
189,-203.0737985880259,111,0.11855006217956543
190,-103.44481909256758,107,0.11927199363708496
191,-158.49347686357976,127,0.13062095642089844
192,-136.16698220002198,87,0.08694005012512207
193,-104.348174633628,104,0.10860300064086914
194,-217.28006909913375,72,0.07741975784301758
195,-54.96757279723931,58,0.06086611747741699
196,-105.5754549164007,120,0.12164998054504395
197,-227.6990013361724,96,0.09630179405212402
198,-330.74954523743065,113,0.11898303031921387
199,-35.22142697935247,65,0.06890082359313965
200,-92.28878018122917,129,0.1430647373199463
201,-81.02390258219341,58,0.07880401611328125
202,-100.36260539915969,80,0.10196995735168457
203,-68.39735757959525,71,0.07307195663452148
204,-283.28862670806376,80,0.07464194297790527
205,-363.45158816202616,123,0.1259610652923584
206,-180.58919475122553,84,0.08949995040893555
207,-106.55764890551387,96,0.10239791870117188
208,-287.76597035646495,85,0.08965802192687988
209,-64.44215249099057,79,0.08266806602478027
210,-74.41295653439083,73,0.08040618896484375
211,-92.54697775176454,110,0.10927796363830566
212,-121.06974162357558,85,0.08496713638305664
213,-91.11048454432897,131,0.13728094100952148
214,-94.26474564155315,84,0.11425209045410156
215,-112.25778459807577,117,0.16568326950073242
216,-124.59913483711713,71,0.06899404525756836
217,-128.97933163301212,77,0.09038901329040527
218,-73.23897735625806,79,0.08108687400817871
219,-134.7662925984859,76,0.0785982608795166
220,-63.31525616168936,112,0.11490917205810547
221,-122.00524613714515,76,0.0814218521118164
222,-88.13341106176145,73,0.08696389198303223
223,-273.94534786747926,83,0.09910297393798828
224,-98.95032023351071,86,0.08616828918457031
225,-77.63021386737559,62,0.06246209144592285
226,-66.99818736382069,115,0.13110804557800293
227,-167.06519406233582,65,0.07088088989257812
228,-123.05156851307677,99,0.09761404991149902
229,-118.49446812648651,74,0.08193397521972656
230,-83.5298588931911,68,0.07570409774780273
231,-101.59688168083547,63,0.06503605842590332
232,-104.8375076718771,77,0.08666872978210449
233,-109.71856743390606,57,0.05961275100708008
234,-61.69310898548128,75,0.07864594459533691
235,-93.98399083179689,99,0.10645294189453125
236,-178.75602291578593,94,0.09552383422851562
237,-82.09327380774575,159,0.16881489753723145
238,-150.50775184087303,71,0.08100676536560059
239,-77.6651917597093,72,0.07491135597229004
240,-145.89070644850742,96,0.10273408889770508
241,-168.59755503575732,62,0.06385493278503418
242,-131.95065751678158,73,0.07387399673461914
243,-86.39892767680062,79,0.09787821769714355
244,-130.83499661996956,72,0.10403990745544434
245,-166.98374588614382,67,0.11687779426574707
246,-178.95463960127475,112,0.15988898277282715
247,-93.34809736396761,92,0.12214994430541992
248,-121.95582052210304,132,0.16454601287841797
249,-340.13398317171436,104,0.12062692642211914
250,-93.37771472093291,68,0.07257390022277832
251,-83.36661775742624,59,0.08468365669250488
252,-109.67977620798433,107,0.12868809700012207
253,-116.46440927904548,95,0.11518192291259766
254,-134.93395776185406,83,0.0857400894165039
255,-344.95954336074504,104,0.1084129810333252
256,-138.78228595986724,111,0.13594317436218262
257,-118.40283218761581,102,0.1197059154510498
258,-127.82179728788401,87,0.10307788848876953
259,-100.75373486500754,92,0.09393191337585449
260,-294.9232914437897,83,0.08883023262023926
261,-153.18248915106045,76,0.08845901489257812
262,-296.2380814068034,115,0.11731815338134766
263,-209.26132650730653,78,0.0987389087677002
264,-65.56373064312953,59,0.0651400089263916
265,14.184254532566754,120,0.14668488502502441
266,-13.515569618547076,110,0.1812448501586914
267,-161.03657980973338,68,0.0856478214263916
268,-143.89626536403802,129,0.19695711135864258
269,-57.889043600823946,133,0.20000219345092773
270,-96.94428041260974,66,0.08548808097839355
271,-86.14057058178803,94,0.10974407196044922
272,-347.93583588713193,91,0.1177668571472168
