episode,reward,time_seconds,steps
300,-67.49613790739798,72,72
301,-155.52743173555768,81,81
302,-181.23838603566082,112,112
303,-113.41339257393584,108,108
304,-97.61049068782607,83,83
305,-85.48894008254358,88,88
306,-75.1417134431722,79,79
307,-64.54005838325227,101,101
308,-89.46113364826397,90,90
309,-96.4328990395987,124,124
310,-281.9422954079586,122,122
311,-86.37330351507823,60,60
312,-178.37027377088197,84,84
313,-41.33996168683203,61,61
314,-153.58828816856644,81,81
315,-118.34466534260847,78,78
316,-92.43163302854884,87,87
317,-90.49953950126476,111,111
318,-98.71699032113052,65,65
319,-185.8584225905983,116,116
320,-140.04409616138622,116,116
321,-83.98955008543112,99,99
322,-174.31203815764366,131,131
323,-208.44714160629542,108,108
324,-97.68365459900674,60,60
325,-88.54329269667411,65,65
326,-190.73186224296194,90,90
327,-200.67126592863406,68,68
328,-174.7150443087284,89,89
329,-68.35051505667339,69,69
330,-196.23303705993192,129,129
331,-84.2661984334153,109,109
332,-76.10400156111766,60,60
333,-481.33788131098055,102,102
334,-77.40326652772171,73,73
335,-209.7384154077438,58,58
336,-71.73632627042305,62,62
337,-106.24524201155809,100,100
338,-96.66818697332337,84,84
339,-59.37469204335245,65,65
340,-100.01560408601826,78,78
341,-46.134150226266385,61,61
342,-193.92110271335946,103,103
343,-77.60039224388606,113,113
344,-166.0442579967389,99,99
345,-136.83934425184833,76,76
346,-141.09692298529575,79,79
347,-88.96848799619599,91,91
348,-184.71377179347218,122,122
349,-111.6414675614155,95,95
350,-31.643139496951846,72,72
351,-234.61595172347967,73,73
352,-53.63886425168264,68,68
353,-82.16587630184489,96,96
354,-105.04881293284363,67,67
355,-119.80248764637456,91,91
356,-392.42695421330563,83,83
357,-87.04111918416015,66,66
358,-136.604267791442,79,79
359,-121.3404551855976,104,104
360,-66.018237995062,66,66
361,-458.3005381834191,159,159
362,-79.35367323837318,96,96
363,-159.2706256656213,94,94
364,-195.782198788527,86,86
365,-157.53850850268458,106,106
366,-262.72053017536547,117,117
367,-194.0133640848549,68,68
368,-84.9581462454212,77,77
369,-155.43970134702627,89,89
370,-131.85425518503445,103,103
371,-101.8458013899358,91,91
372,-63.189755537132385,87,87
373,-84.22594651309424,69,69
374,-104.39761416088119,87,87
375,-224.16288150451115,115,115
376,-399.7264754412822,98,98
377,-118.338105537655,70,70
378,-129.26243913301766,125,125
379,-88.34692539442598,89,89
380,-112.61822054783347,69,69
381,-67.85356063937924,83,83
382,-95.88226745468572,56,56
383,-148.21913577920895,77,77
384,-285.03625326375936,89,89
385,-71.50630106337078,85,85
386,-325.51371936572474,89,89
387,-86.03007474630839,128,128
388,-136.90378113449185,85,85
389,-98.23539012603014,88,88
390,-116.00827539746942,71,71
391,-126.04207699442748,87,87
392,-101.2648396888136,79,79
393,-109.31479707918393,68,68
394,-59.74134815525839,103,103
395,-101.9823424098551,76,76
396,-113.72279782901953,91,91
397,-110.68829944533823,76,76
398,-334.01734371134694,77,77
399,-127.62132387481468,124,124
400,-102.28771627720506,78,78
401,-114.76749545679799,72,72
402,-41.232349405991535,67,67
403,-119.62081724179336,101,101
404,-180.53433480469334,88,88
405,-91.50528317874044,86,86
406,-127.5574495729548,109,109
407,-102.24020606545771,105,105
408,-85.93374882973245,88,88
409,-77.85910658912218,87,87
410,-138.4477561464897,113,113
411,-141.15133601931373,133,133
412,-216.39591882634124,98,98
413,-71.78572363948626,71,71
414,-219.21596873363652,133,133
415,-87.66111760128102,71,71
416,-126.36073254523868,82,82
417,-86.20693389582829,96,96
418,-111.4421883552688,91,91
419,-122.28841791026733,113,113
420,-140.94907556234267,65,65
421,-307.57210959192196,70,70
422,-76.82265473859431,60,60
423,-313.41002525704454,142,142
424,-142.0977996370134,74,74
425,-107.96890841669975,87,87
426,-139.29193086341922,103,103
427,-185.3697157539616,120,120
428,-94.43407992827807,63,63
429,-52.22233126852194,69,69
