episode,reward,time_seconds,steps
1,-184.5353,0.0006,70
2,-173.4717,0.0006,71
3,-94.1478,0.0006,74
4,-282.7928,0.0006,87
5,-318.6834,0.0006,87
6,-370.3647,0.0006,96
7,-92.5503,0.0006,100
8,-149.8848,0.0006,102
9,-111.1250,0.0006,62
10,-96.8289,0.0007,92
11,-102.3274,0.0007,88
12,-60.5092,0.0007,74
13,-100.5419,0.0007,78
14,-332.7165,0.0007,108
15,-256.0072,0.0007,106
16,-225.6016,0.0007,90
17,-96.3563,0.0007,61
18,6.3034,0.0007,76
19,-371.4260,0.0007,104
20,-129.6971,0.0007,105
21,-101.0285,0.0007,94
22,-395.6599,0.0007,98
23,-295.1321,0.0007,105
24,-132.0469,0.0007,125
25,-95.3497,0.0007,71
26,-54.3198,0.0007,75
27,-102.9342,0.0008,59
28,-173.1954,0.0008,92
29,-387.8682,0.0008,89
30,-85.5002,0.0008,68
31,-207.9210,0.0008,108
32,-100.9762,0.0008,106
33,-85.0023,0.0008,68
34,-443.4245,0.0008,96
35,-155.1632,0.0008,89
36,-103.9292,0.0008,59
37,-110.2482,0.0008,110
38,-106.1306,0.0008,101
39,-157.3776,0.0009,102
40,-266.8860,0.0008,88
41,-107.8587,0.0008,67
42,-6.7752,0.0008,115
43,-127.8993,0.0009,81
44,-337.6083,0.0009,83
45,-92.5459,0.0009,66
46,-134.4799,0.0009,105
47,-281.6948,0.0009,94
48,-106.5853,0.0009,82
49,-120.4431,0.0009,100
50,-253.3159,0.0009,106
51,-102.8080,0.0009,96
52,-111.0397,0.0009,142
53,-84.7095,0.0009,89
54,-415.6670,0.0009,84
55,-91.8427,0.0009,60
56,-294.6270,0.0009,91
57,-114.1689,0.0010,123
58,-52.3100,0.0010,70
59,-68.8553,0.0010,82
60,2.5123,0.0010,99
61,-150.2895,0.0010,66
62,-100.4719,0.0010,62
63,-132.1250,0.0010,110
64,-174.5396,0.0010,111
65,-279.6756,0.0010,69
66,-112.4317,0.0010,88
67,-112.9533,0.0010,88
68,-343.0375,0.0010,100
69,-322.7694,0.0010,94
70,-107.4712,0.0011,74
71,-95.7835,0.0010,109
72,-98.1494,0.0010,74
73,-215.4869,0.0011,87
74,-339.3134,0.0011,104
75,-102.1477,0.0011,103
76,-93.0104,0.0011,81
77,-61.3840,0.0011,95
78,-160.6246,0.0011,95
79,-165.8654,0.0011,91
80,-105.6108,0.0011,130
81,-175.6826,0.0011,67
82,-222.2634,0.0011,68
83,-355.8420,0.0012,90
84,-105.7963,0.0011,82
85,-117.6738,0.0011,96
86,-149.0676,0.0011,58
87,-350.8157,0.0011,90
88,-413.4436,0.0011,88
89,-242.3070,0.0012,133
90,-128.1976,0.0012,76
91,-62.1903,0.0012,63
92,-105.1487,0.0012,90
93,-396.3773,0.0012,98
94,-175.1865,0.0012,121
95,-243.3643,0.0012,105
96,-74.9053,0.0012,123
97,-130.0197,0.0012,113
98,14.1196,0.0012,90
99,-358.7989,0.0012,104
100,-261.4850,0.0012,96
101,-210.0386,0.0013,81
102,-425.3027,0.0013,93
103,-84.6705,0.0013,106
104,-25.1360,0.0013,92
105,-72.6926,0.0013,123
106,-119.5480,0.0013,109
107,-108.4368,0.0013,97
108,-211.8608,0.0013,74
109,-460.4414,0.0013,91
110,-146.8031,0.0013,73
111,-367.8476,0.0013,98
112,-191.4105,0.0013,119
113,15.8781,0.0013,137
114,-339.9851,0.0013,115
115,12.9386,0.0013,88
116,-207.5837,0.0014,65
117,-317.3626,0.0013,110
118,-224.8170,0.0014,91
119,-126.6829,0.0014,76
120,-90.3518,0.0014,104
121,-73.7757,0.0014,82
122,-239.1201,0.0014,65
123,-216.1848,0.0014,82
124,-295.4330,0.0014,96
125,-543.8323,0.0014,157
126,-335.2968,0.0014,86
127,-105.8762,0.0014,75
128,-250.0802,0.0014,106
129,-99.8163,0.0014,82
130,-93.7260,0.0014,64
131,-35.0197,0.0015,74
132,-107.2570,0.0014,92
133,-81.8050,0.0014,69
134,-163.6789,0.0015,89
135,-160.0555,0.0015,92
136,-342.8379,0.0015,90
137,-311.1818,0.0015,95
138,-137.6620,0.0015,80
139,-236.7311,0.0015,104
140,-88.1126,0.0015,67
141,-99.5107,0.0015,102
142,-450.2267,0.0015,86
143,-151.6539,0.0015,67
144,-80.9284,0.0015,64
145,-96.2814,0.0015,80
146,-100.2445,0.0015,68
147,-71.1095,0.0015,77
148,-100.1188,0.0016,104
149,-129.5302,0.0015,67
150,-198.7339,0.0015,82
151,-111.7387,0.0015,66
152,-233.4628,0.0016,101
153,-326.8951,0.0016,74
154,-71.1831,0.0016,73
155,-133.2092,0.0016,70
156,-207.4466,0.0016,74
157,-156.5745,0.0016,124
158,-116.3246,0.0016,103
159,-240.6267,0.0016,118
160,-102.4749,0.0016,67
161,-375.0063,0.0016,111
162,-145.2607,0.0016,79
163,2.2609,0.0016,104
164,-168.0435,0.0016,119
165,-391.3663,0.0016,94
166,-112.2390,0.0017,129
167,-217.8150,0.0017,83
168,-102.3120,0.0017,72
169,-116.0458,0.0017,91
170,-248.2863,0.0017,66
171,-250.6806,0.0017,105
172,-261.4751,0.0017,94
173,-23.2726,0.0017,94
174,-197.5832,0.0017,140
175,-172.1456,0.0017,61
176,-112.9543,0.0017,87
177,-351.2011,0.0017,140
178,-319.5290,0.0036,92
179,-189.3036,0.0037,104
180,-213.9797,0.0037,74
181,-131.0172,0.0037,91
182,-123.7617,0.0037,117
183,-111.1209,0.0037,94
184,-223.2325,0.0037,121
185,-100.5332,0.0037,74
