episode,reward,time_seconds,steps
1,-103.47408739794167,0.06691694259643555,96
2,-120.90275624251245,0.04206991195678711,90
3,-99.1049444968301,0.04212594032287598,85
4,-322.9874454459418,0.04765796661376953,96
5,-347.7043871361418,0.07029986381530762,139
6,-311.6873065084823,0.04042220115661621,80
7,-221.2508110338763,0.050331830978393555,92
8,-129.9302686417562,0.03871011734008789,80
9,-355.2912657550265,0.051052093505859375,110
10,-99.4894635780028,0.06658101081848145,134
11,-321.64212545226894,0.05294203758239746,106
12,-84.36043690179267,0.0627589225769043,125
13,-415.63255845819134,0.051763296127319336,102
14,-229.0666806750519,0.04971194267272949,98
15,-294.94263206529786,0.053045034408569336,113
16,-135.43118039194974,0.030719280242919922,63
17,-241.3547677843584,0.03729510307312012,78
18,6.453862728220685,0.04726600646972656,96
19,-386.5870254225598,0.05543088912963867,108
20,-107.37163056751494,0.031614065170288086,65
21,-178.7074236804914,0.04852008819580078,86
22,-251.94522038614167,0.04085397720336914,84
23,-294.05077151241727,0.05220675468444824,97
24,-200.20852128950662,0.05404090881347656,105
25,-432.743252551892,0.04966092109680176,105
26,-128.24308522633095,0.03873491287231445,82
27,-98.95949376436104,0.05131101608276367,90
28,-278.56084769711293,0.04782509803771973,101
29,-214.7849131892978,0.04110288619995117,84
30,-401.3905118647466,0.04207420349121094,89
31,-163.11614570473134,0.05463719367980957,116
32,-213.78039473481383,0.05716085433959961,120
33,-222.05863119220447,0.04693007469177246,97
34,-221.04782489322668,0.036620140075683594,74
35,-173.99294139473852,0.0385899543762207,82
36,-93.75750789142049,0.036872148513793945,77
37,-86.22341609635068,0.02918720245361328,63
38,-120.70152146469387,0.051068782806396484,113
39,-170.41087229038868,0.045423030853271484,83
40,-106.94724065944332,0.0491938591003418,69
41,-123.02932213412267,0.038564205169677734,76
42,-105.8483844582351,0.044435977935791016,98
43,-113.61444790382367,0.058046817779541016,126
44,-205.3803876528773,0.043029069900512695,91
45,-185.3557304050585,0.03949999809265137,82
46,-98.82660052615134,0.028995990753173828,64
47,-374.04083502768293,0.047086238861083984,98
48,-94.46483157653692,0.04282712936401367,89
49,-109.60862905859247,0.031029939651489258,68
50,-461.66168109748355,0.0568079948425293,111
51,-144.0181928338284,0.04786396026611328,96
52,-93.92532519084521,0.037149906158447266,73
53,-219.77138469130014,0.0679330825805664,146
54,-336.05189611927744,0.054548025131225586,112
55,-46.33019455093668,0.03465986251831055,73
56,-183.67027549398298,0.06327295303344727,133
57,-218.62654614037288,0.0480961799621582,107
58,-234.29834694641988,0.0461878776550293,96
59,-35.18023897386357,0.03719615936279297,78
60,-223.98895910506903,0.0477907657623291,103
61,-311.7555502681063,0.0521540641784668,105
62,-92.17391917046119,0.050225019454956055,107
63,-168.2533865894449,0.037397146224975586,80
64,-67.78367745182413,0.02927994728088379,65
65,-135.4826437916489,0.024902820587158203,55
66,-213.4673891620402,0.05060100555419922,112
67,-223.62192370814518,0.05497407913208008,116
68,-252.27782292766253,0.0542597770690918,112
69,-206.3137783148769,0.04497694969177246,93
70,-79.90850987505668,0.043573856353759766,90
71,-349.3048912785132,0.06385469436645508,136
72,-366.07494459272357,0.0476992130279541,97
73,-194.22524256530022,0.03740286827087402,73
74,-129.79577961193138,0.055954933166503906,104
75,-141.44484909903184,0.039214134216308594,73
76,-549.7682373255197,0.06088590621948242,101
77,-85.9322406833733,0.04419398307800293,76
78,-106.84817950169321,0.03216195106506348,66
79,-87.46803370756872,0.054273128509521484,108
80,-67.11790096103061,0.03075408935546875,64
81,-91.37191865840637,0.037919044494628906,78
82,-200.637291594977,0.039650917053222656,71
83,-92.02309869126444,0.048188209533691406,84
84,-232.9420361293298,0.04835200309753418,88
85,-47.690319988212934,0.03441810607910156,70
86,-275.5041222867842,0.04615926742553711,96
87,-156.9927847783802,0.04112529754638672,79
88,-199.32502977297347,0.045372962951660156,86
89,-160.75463031318787,0.04015302658081055,84
90,-256.3840149681122,0.04285693168640137,93
91,-106.18115860788784,0.04517102241516113,96
92,-204.34564006075402,0.03664684295654297,77
93,-39.97721390270364,0.03508305549621582,75
94,-106.04423187423316,0.03044891357421875,65
95,-98.92639203049225,0.05921316146850586,122
96,-198.05481032326264,0.03682422637939453,79
97,-223.04283912406828,0.04563617706298828,99
98,-112.10676663947147,0.04720616340637207,90
99,-75.70773637375787,0.06792688369750977,123
100,-132.05682539199722,0.06830406188964844,129
101,-277.6801898213283,0.057565927505493164,116
102,-114.27416481666505,0.040474891662597656,87
103,-109.28340077074284,0.06196403503417969,135
104,-97.27868150668374,0.0372929573059082,80
105,-168.99505870423422,0.03144407272338867,68
106,-90.42077695223162,0.033715248107910156,66
107,-302.53791650534725,0.05851411819458008,122
108,-212.46222791584412,0.04615211486816406,99
109,-290.05459759259884,0.05490922927856445,90
110,-210.30060429166207,0.050247907638549805,86
111,-174.60418402416138,0.05841779708862305,113
112,-121.74406707051224,0.05497598648071289,109
113,-72.77151075381958,0.03649306297302246,74
114,-106.48902525883746,0.041986942291259766,89
115,-137.15265774794875,0.04954886436462402,102
116,-85.54772473610508,0.05200839042663574,110
117,12.054301349876482,0.032705068588256836,71
118,-319.7777952070477,0.04382920265197754,94
119,-87.4718613326884,0.03207111358642578,70
120,-134.70686224057008,0.04216885566711426,86
121,-326.1379578881473,0.06242799758911133,124
122,-256.4843800279558,0.06721782684326172,138
123,-37.80533406382765,0.04633927345275879,98
124,-133.74830915386653,0.058222055435180664,125
125,-188.70366543037971,0.05068492889404297,110
126,-140.73041082591888,0.050900936126708984,97
127,-44.667300667605154,0.035649776458740234,71
128,-110.73635563631184,0.03339791297912598,70
129,-158.7705201862634,0.05087685585021973,106
130,-92.11420534026787,0.027128934860229492,57
131,-120.82436025585929,0.033846139907836914,71
132,-104.67955587947654,0.03659319877624512,77
133,-66.13269810485161,0.04175519943237305,83
134,-39.60545243552136,0.054515838623046875,113
135,-95.73873199142287,0.05826282501220703,119
136,-32.54265612904881,0.06119227409362793,127
137,-65.17191777372898,0.039903879165649414,78
138,-5.234927425020771,0.07589387893676758,157
139,-415.23511569023384,0.04170584678649902,88
140,-242.32939312523627,0.05663704872131348,119
141,-78.97352623630645,0.04159379005432129,87
142,-71.5893443434216,0.030287981033325195,65
143,-159.64839359701523,0.0446319580078125,89
144,-260.4820350794282,0.04752302169799805,95
145,-148.32604358004056,0.07353401184082031,158
146,-91.65061009413361,0.039990901947021484,81
147,-63.867764003945794,0.03935980796813965,76
148,-153.1164253191905,0.05454277992248535,111
149,-167.69995843672243,0.057747840881347656,120
150,-109.48908945986257,0.03916287422180176,80
151,-124.05817435608797,0.058995962142944336,85
152,-148.91540603872886,0.07158803939819336,136
153,-37.93322855609331,0.10427308082580566,160
154,-223.14527733165733,0.039930105209350586,80
155,-382.13575555487193,0.049948930740356445,105
156,-305.5034843129295,0.049829959869384766,105
