episode,reward,steps,time_seconds
1,-68.8203041394006,87,0.16356921195983887
2,-90.66427936068402,68,0.1116800308227539
3,-115.5787994716544,86,0.10465407371520996
4,-199.0020351459313,65,0.07529807090759277
5,-396.24607953027044,119,0.1465771198272705
6,-227.5890772425408,101,0.13215208053588867
7,-304.85936952246396,96,0.10890388488769531
8,-141.03785801631022,116,0.1341109275817871
9,-126.82393874093256,68,0.10989117622375488
10,-55.87038183692397,74,0.09814786911010742
11,-391.3394416919209,101,0.12762093544006348
12,-334.9092718440422,119,0.1590273380279541
13,-119.1865012473423,100,0.12813186645507812
14,-100.77239089613938,114,0.14316892623901367
15,-382.51793955046685,106,0.12041020393371582
16,-92.39847475368845,71,0.08919095993041992
17,-190.89079480649633,92,0.11880111694335938
18,-49.46759588985822,87,0.10576391220092773
19,-227.28862842858035,136,0.15746188163757324
20,-462.24016488237885,144,0.1689610481262207
21,-254.29538358073907,114,0.14893293380737305
22,-93.18293698690115,80,0.22922301292419434
23,-121.47872744059873,90,0.20965886116027832
24,-286.9529571624753,116,0.3307971954345703
25,-217.18113235558036,88,0.1610698699951172
26,-150.14996722778548,88,0.13175415992736816
27,-153.32580120925863,86,0.11836099624633789
28,-169.36990263268115,137,0.15937495231628418
29,-166.88839160056833,100,0.11644983291625977
30,-211.2581112117705,74,0.08387517929077148
31,-209.54963171619372,115,0.12557196617126465
32,-272.3673018894815,96,0.10521078109741211
33,-295.0617577970113,99,0.16676092147827148
34,-102.22360221350137,67,0.15970993041992188
35,-449.026410881863,123,0.2777137756347656
36,-1.6921417551474462,97,0.26944875717163086
37,-77.24602661633593,129,0.222855806350708
38,-121.81587319724434,122,0.1633768081665039
39,-197.7283562315223,77,0.1063697338104248
40,-318.1370941927966,84,0.10487675666809082
41,-141.58229177686934,92,0.11278510093688965
42,-321.1025884594004,76,0.09268689155578613
43,-117.48545041817107,73,0.09368586540222168
44,-356.00913976154766,97,0.11070895195007324
45,-92.48159702687222,69,0.11469912528991699
46,-100.47047502595741,84,0.10314583778381348
47,-123.26047405897141,66,0.07779598236083984
48,-246.29439459336555,87,0.10586214065551758
49,-96.57077065089983,63,0.07388806343078613
50,-95.9688186160573,78,0.10011005401611328
51,-190.08669741483155,81,0.10132694244384766
52,-106.76445977107814,99,0.12457275390625
53,-115.50705400386059,125,0.14481878280639648
54,-318.6495410176008,74,0.0926971435546875
55,-393.3888129341541,100,0.11770391464233398
56,2.5017025184235706,144,0.17312383651733398
57,-153.99057556601304,111,0.13597607612609863
58,-261.3056901993076,87,0.0999910831451416
59,-109.20453800429391,81,0.09623503684997559
60,-201.93860738446637,62,0.07812190055847168
61,-74.68865837641314,67,0.07913327217102051
62,-111.81654888365912,88,0.1106870174407959
63,-316.62410088310713,100,0.13097214698791504
64,-62.02373723363119,57,0.07876300811767578
65,-233.62097226252297,78,0.09511399269104004
66,-152.89484857008512,58,0.07377481460571289
67,-202.40793211791902,109,0.14776325225830078
68,-66.58269867539957,124,0.15308785438537598
69,-194.04771587266973,65,0.0780632495880127
70,-252.2689413502571,102,0.12703371047973633
71,-195.88208685489928,96,0.13618087768554688
72,-392.34132739409984,113,0.13288497924804688
73,-63.882608097571264,61,0.06508493423461914
74,-158.9207425223571,149,0.16953611373901367
75,-126.64105632486363,102,0.1137547492980957
76,-172.62461303857162,81,0.09190011024475098
77,-427.6094462888792,146,0.16285109519958496
78,-361.77683651467896,110,0.1224520206451416
79,-113.98742820972166,92,0.10330009460449219
80,-168.89952772528113,76,0.08184695243835449
81,-203.6998547242402,80,0.08809494972229004
82,-270.61512474740977,128,0.1387178897857666
83,-246.8512634557515,58,0.06004524230957031
84,-96.80711344172805,61,0.0708608627319336
85,-129.19390750137254,84,0.10066103935241699
86,-229.15216587952514,116,0.12531089782714844
87,-154.66947660092242,81,0.09395003318786621
88,-238.2931565514439,87,0.1043083667755127
89,-68.37829005189096,143,0.17044496536254883
90,-417.63894837729896,130,0.16525697708129883
91,-176.8994571407759,122,0.15101313591003418
92,-172.23570253934986,73,0.133134126663208
93,-73.46016453532825,72,0.09290385246276855
94,-119.34900830729364,73,0.09264898300170898
95,-273.59550169986727,102,0.11716413497924805
96,-400.207791955487,106,0.12186503410339355
97,-199.98092347102522,78,0.08216023445129395
98,-316.6635275692653,134,0.1583418846130371
99,-115.4525043532624,70,0.08401727676391602
100,-185.26383578930742,94,0.1001291275024414
101,-89.11493905701816,68,0.07589101791381836
102,-144.00032893916972,88,0.09962105751037598
103,-129.1190432274111,89,0.1017923355102539
104,-119.01947941640381,104,0.12310290336608887
105,-105.66635880318996,57,0.060806989669799805
106,-125.5176347518333,102,0.11346292495727539
107,-85.05015860594212,126,0.13998627662658691
108,-101.95615309092358,70,0.08679437637329102
109,-209.7042972107111,84,0.09571194648742676
110,-251.68077065613457,105,0.11980414390563965
111,-27.73206822001771,89,0.10450983047485352
112,-157.55332993039275,101,0.11176609992980957
113,-243.20724970296808,87,0.09074687957763672
114,-574.5473883406765,125,0.14284324645996094
115,-126.39608926373523,116,0.12064385414123535
116,-188.72269445343113,97,0.10344886779785156
117,-332.683209553409,107,0.12404823303222656
118,-100.82708726290313,74,0.0878913402557373
119,-384.3148991990669,96,0.1105349063873291
120,-204.77031781152553,85,0.09524106979370117
121,-202.2127654603124,88,0.09849977493286133
122,-377.23078859441057,117,0.13341474533081055
123,-88.93546452655059,71,0.07807207107543945
124,-99.7412195639312,85,0.09964799880981445
125,-74.46979822979446,73,0.08870983123779297
126,-182.77073439130533,66,0.0777590274810791
127,-284.6383789129106,114,0.1353468894958496
128,-171.7912884596093,79,0.0925900936126709
129,-127.41380451862146,121,0.16339612007141113
130,-79.5988015091542,58,0.06570601463317871
131,-88.978733088793,109,0.17438912391662598
132,-112.22181184498042,78,0.09955096244812012
133,-111.98453739810361,82,0.09427809715270996
134,-113.70629548589818,73,0.08457708358764648
