episode,reward,time_seconds,steps
214,-67.0897,0.0087,240
215,-101.1895,0.0093,252
216,-46.2232,0.0094,1000
217,75.2227,0.0095,1000
218,-102.4862,0.0100,254
219,-148.9723,0.0104,260
220,113.8527,0.0110,1000
221,-223.4610,0.0110,648
222,95.6481,0.0114,1000
223,-222.3496,0.0116,427
224,-182.1125,0.0117,638
225,179.6927,0.0122,637
226,-77.4361,0.0126,258
227,-127.1751,0.0127,471
228,-110.9058,0.0135,204
229,-128.1924,0.0138,321
230,11.1413,0.0139,1000
231,-186.0840,0.0142,964
232,-104.3437,0.0147,451
233,-164.1576,0.0157,698
234,-145.9447,0.0157,873
235,-23.6886,0.0157,1000
236,-98.9634,0.0169,933
237,-68.1047,0.0183,1000
238,42.7604,0.0184,1000
239,-4.9192,0.0184,1000
240,16.1762,0.0193,1000
241,-31.6521,0.0206,1000
242,-47.6333,0.0207,1000
243,-31.9320,0.0207,1000
244,-27.7274,0.0214,304
245,12.4957,0.0222,1000
246,23.9031,0.0233,1000
247,16.1284,0.0233,1000
248,17.8442,0.0239,1000
249,256.7279,0.0242,405
250,13.6330,0.0243,1000
251,71.8789,0.0256,1000
252,-2.8077,0.0264,1000
253,-7.5417,0.0268,1000
254,-31.0619,0.0269,1000
255,18.3814,0.0282,1000
256,15.4025,0.0290,1000
257,59.5551,0.0293,1000
258,20.9322,0.0294,1000
259,22.2279,0.0309,1000
260,46.9239,0.0317,1000
261,47.9281,0.0321,1000
262,53.2342,0.0322,1000
263,195.6056,0.0327,400
264,18.4078,0.0333,1000
265,140.9495,0.0337,628
266,30.8516,0.0344,1000
267,144.8998,0.0348,906
268,-61.6592,0.0352,653
269,175.1740,0.0366,444
270,52.1288,0.0366,1000
271,68.5899,0.0371,1000
272,67.2675,0.0374,1000
273,183.1766,0.0377,519
274,220.3671,0.0377,532
275,6.4136,0.0381,367
276,131.1285,0.0389,1000
277,72.6822,0.0392,1000
278,107.2976,0.0395,1000
279,134.1529,0.0401,1000
280,194.7971,0.0406,598
281,73.1606,0.0410,1000
282,24.8287,0.0414,417
283,82.0766,0.0415,1000
284,129.9557,0.0426,1000
285,193.1793,0.0427,443
286,112.5884,0.0434,1000
287,171.3058,0.0435,483
288,216.8483,0.0437,576
289,92.1698,0.0438,1000
290,204.6031,0.0446,444
291,110.7558,0.0455,1000
292,118.4193,0.0456,1000
293,102.7425,0.0458,1000
294,196.9600,0.0464,487
295,127.1517,0.0468,1000
296,132.7571,0.0477,1000
297,139.2340,0.0480,1000
298,65.3911,0.0488,1000
299,130.3793,0.0490,1000
300,116.9632,0.0499,1000
301,126.6381,0.0502,1000
302,-6.3435,0.0507,369
303,112.7026,0.0508,1000
304,81.5849,0.0510,1000
305,35.0137,0.0512,321
306,225.1934,0.0522,481
307,98.9303,0.0522,1000
308,130.9187,0.0528,1000
309,198.5993,0.0531,412
310,120.7142,0.0531,1000
311,124.9006,0.0542,1000
312,114.0361,0.0548,1000
313,240.5848,0.0548,288
314,116.1903,0.0550,1000
315,130.9504,0.0550,1000
316,0.1201,0.0551,224
317,-48.4710,0.0556,258
318,125.7150,0.0565,1000
319,121.0274,0.0567,1000
320,128.9423,0.0567,1000
321,-47.8130,0.0573,294
322,130.2886,0.0574,1000
323,152.9245,0.0582,1000
324,155.8568,0.0585,1000
325,140.7034,0.0589,1000
326,133.2304,0.0592,1000
327,114.9149,0.0603,1000
328,255.7067,0.0604,949
329,102.8677,0.0610,1000
330,227.2939,0.0610,479
331,255.8504,0.0612,385
332,106.1412,0.0613,1000
333,20.5315,0.0614,241
334,221.7919,0.0617,497
335,247.6501,0.0617,475
336,118.0818,0.0628,1000
337,156.0239,0.0631,1000
338,236.7434,0.0633,394
339,134.6251,0.0634,1000
340,113.9265,0.0634,1000
341,8.6586,0.0634,269
342,230.8268,0.0639,362
343,195.8834,0.0639,322
344,267.1104,0.0639,462
345,-19.4527,0.0644,285
346,230.8393,0.0646,401
347,205.5920,0.0647,580
348,118.2725,0.0648,1000
349,230.4770,0.0648,364
350,239.0996,0.0651,326
351,29.5682,0.0652,240
352,220.1392,0.0654,378
353,236.3711,0.0654,457
354,233.0159,0.0654,307
355,-8.1079,0.0658,230
356,243.0888,0.0660,559
357,238.6657,0.0661,470
358,224.8092,0.0664,371
359,240.8273,0.0667,735
360,216.3857,0.0668,356
361,247.7668,0.0671,385
362,241.2618,0.0672,350
363,102.0665,0.0680,1000
364,219.4939,0.0683,808
365,247.9463,0.0683,558
366,239.9664,0.0688,390
367,29.0353,0.0690,338
368,112.8585,0.0692,1000
369,238.3011,0.0693,469
370,25.1172,0.0693,249
371,240.0717,0.0694,398
372,237.2591,0.0697,338
373,118.7580,0.0708,1000
374,128.2822,0.0710,1000
375,84.5416,0.0710,1000
376,60.8733,0.0710,177
377,130.1686,0.0715,1000
378,254.4344,0.0716,317
379,225.1949,0.0716,390
380,13.8005,0.0721,288
381,209.3103,0.0726,600
382,240.7737,0.0726,392
383,124.8286,0.0726,1000
384,109.5019,0.0730,1000
385,237.0271,0.0731,301
