rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/entropy_loss,train/approx_kl,train/explained_variance,train/clip_range,train/learning_rate,train/value_loss,train/n_updates,train/clip_fraction,train/loss,train/policy_gradient_loss
93.0,-200.926289,1,0,128,3960,,,,,,,,,,
82.66666666666667,-124.49753133333333,2,0,256,2579,-1.3838354125618935,0.0053970637,0.003212571144104004,0.2,0.001,1013.2020797729492,4,0.017578125,669.8909301757812,-0.013458117377012968
88.5,-146.18167875,3,0,384,2607,-1.3786354064941406,0.0049685095,0.0016006827354431152,0.2,0.001,2137.881607055664,8,0.01171875,889.5202026367188,-0.012239582720212638
93.4,-148.73256659999998,4,0,512,2562,-1.3803353607654572,0.0017740666,0.021075725555419922,0.2,0.001,1136.664192199707,12,0.0,564.9317626953125,-0.004607284150552005
89.16666666666667,-149.4960573333333,5,0,640,2551,-1.3793410286307335,0.0014573485,0.03552192449569702,0.2,0.001,773.6507797241211,16,0.0,448.4055480957031,-0.00727490393910557
90.625,-132.831667,6,0,768,2576,-1.370484583079815,0.0042246114,0.0427209734916687,0.2,0.001,750.8474397659302,20,0.013671875,152.3583526611328,-0.015412828652188182
87.9,-126.10089440000002,7,0,896,2606,-1.3578392937779427,0.0032119635,0.0788428783416748,0.2,0.001,1050.7687492370605,24,0.00390625,723.5616455078125,-0.008057317230850458
86.45454545454545,-121.81094700000003,8,0,1024,2615,-1.3275066688656807,0.0028627156,0.13512516021728516,0.2,0.001,949.8045616149902,28,0.0,632.199951171875,-0.0072344106156378984
85.84615384615384,-128.46243576923078,9,0,1152,2623,-1.3597174659371376,0.0014393013,-0.11158967018127441,0.2,0.001,612.8172760009766,32,0.0,341.6741027832031,-0.004876957158558071
88.07142857142857,-123.46955692857145,10,0,1280,2641,-1.3384098038077354,0.0023004892,0.23338091373443604,0.2,0.001,1452.7830963134766,36,0.0,790.8351440429688,-0.007699642446823418
88.93333333333334,-121.80587773333335,11,0,1408,2655,-1.3100509494543076,0.0063946713,0.21349769830703735,0.2,0.001,362.10743832588196,40,0.02734375,86.78518676757812,-0.007555766263976693
88.52941176470588,-115.48401347058824,12,0,1536,2654,-1.3538590744137764,0.0054896064,0.06628799438476562,0.2,0.001,462.10064792633057,44,0.01953125,91.8111572265625,-0.008664797060191631
89.38888888888889,-118.44987027777779,13,0,1664,2655,-1.3140459284186363,0.0050403685,0.16968870162963867,0.2,0.001,565.5844125747681,48,0.009765625,438.7502746582031,-0.015823984751477838
88.5,-120.48870555,14,0,1792,2657,-1.3138863295316696,0.0029174993,0.03201192617416382,0.2,0.001,580.3394575119019,52,0.005859375,332.7474365234375,-0.014796396484598517
90.23809523809524,-116.86860604761907,15,0,1920,2652,-1.30186527967453,0.0031513213,0.26468193531036377,0.2,0.001,936.4715538024902,56,0.0078125,317.77203369140625,-0.011409660684876144
89.31818181818181,-116.7830711818182,16,0,2048,2664,-1.3096672967076302,0.0056233373,0.07500529289245605,0.2,0.001,397.9708299636841,60,0.01953125,198.51304626464844,-0.009303433704189956
90.6086956521739,-118.88792360869567,17,0,2176,2668,-1.2944748550653458,0.003648507,0.18714302778244019,0.2,0.001,619.800479888916,64,0.0,345.36358642578125,-0.00511740572983399
91.79166666666667,-123.70187108333334,18,0,2304,2669,-1.2201922461390495,0.0028044665,0.0787246823310852,0.2,0.001,501.06304359436035,68,0.005859375,231.42044067382812,-0.007459748885594308
92.46153846153847,-124.2928943846154,19,0,2432,2673,-1.1899057254195213,0.0024171514,-0.026487231254577637,0.2,0.001,1047.1342315673828,72,0.0,509.45977783203125,-0.004154723137617111
91.44444444444444,-122.2053744814815,20,0,2560,2672,-1.251843199133873,0.0091085825,0.10079342126846313,0.2,0.001,449.0382947921753,76,0.060546875,101.18563842773438,-0.015902148676104844
92.25,-127.69720317857143,21,1,2688,2666,-1.2180064097046852,0.0052046985,0.05081862211227417,0.2,0.001,460.68407344818115,80,0.0234375,206.36170959472656,-0.0013680320116691291
93.06666666666666,-128.79373166666667,22,1,2816,2668,-1.2376259937882423,0.006244689,0.05661112070083618,0.2,0.001,1335.994888305664,84,0.0,354.7143859863281,-0.006255451589822769
94.16129032258064,-136.66775470967744,23,1,2944,2664,-1.1918727979063988,0.0023543355,0.2693881392478943,0.2,0.001,545.1907501220703,88,0.005859375,284.011962890625,-0.009000663470942527
94.34375,-139.08420940625,24,1,3072,2672,-1.0783711224794388,0.0024074498,0.05369824171066284,0.2,0.001,3936.1695098876953,92,0.0,2017.4434814453125,-0.005508980713784695
93.8529411764706,-136.2162395,25,1,3200,2671,-1.1719515547156334,0.004382156,0.04718303680419922,0.2,0.001,961.3732833862305,96,0.009765625,458.7681884765625,-0.009555313736200333
94.0,-138.26811071428574,26,1,3328,2676,-1.0665941536426544,0.0030767038,0.10841155052185059,0.2,0.001,550.3011054992676,100,0.001953125,364.50115966796875,-0.00962557177990675
93.61111111111111,-139.11479375000002,27,1,3456,2686,-1.2138431072235107,0.0039452696,0.10180127620697021,0.2,0.001,683.8530712127686,104,0.005859375,329.5445251464844,-0.009858841891400516
93.54054054054055,-137.0501330810811,28,1,3584,2687,-1.185179054737091,0.015828125,0.008885562419891357,0.2,0.001,948.9413833618164,108,0.130859375,553.1661987304688,-0.02929291396867484
94.02564102564102,-130.35961497435898,29,1,3712,2695,-1.168692208826542,0.00290369,-0.02813708782196045,0.2,0.001,682.0869445800781,112,0.0,266.0589294433594,-0.005083593016024679
94.3,-129.36991619999998,30,1,3840,2698,-1.2142826169729233,0.027595006,0.013098180294036865,0.2,0.001,659.5821304321289,116,0.126953125,341.4185485839844,-0.030484722461551428
94.19047619047619,-128.53583769047617,31,1,3968,2701,-1.2654936760663986,0.007637646,0.009223520755767822,0.2,0.001,660.2870254516602,120,0.041015625,214.89173889160156,-0.012713474803604186
93.86046511627907,-125.08008927906975,32,1,4096,2705,-1.1543076187372208,0.0068667247,0.09230738878250122,0.2,0.001,262.79644870758057,124,0.021484375,64.04605865478516,-0.014800904085859656
94.20454545454545,-122.30527706818181,33,1,4224,2702,-1.1648133620619774,0.0028987369,0.05837732553482056,0.2,0.001,376.44544410705566,128,0.00390625,208.90969848632812,-0.0059085002867504954
94.64444444444445,-126.26347824444444,34,1,4352,2700,-1.2521827667951584,0.02318275,-0.05415952205657959,0.2,0.001,186.0608835220337,132,0.16796875,55.27138137817383,-0.026916964445263147
96.1086956521739,-123.23237195652173,35,1,4480,2688,-1.1322531253099442,0.015159676,0.0005298852920532227,0.2,0.001,2041.1865043640137,136,0.08203125,658.6806030273438,-0.011316261254251003
97.08510638297872,-122.56706259574467,36,1,4608,2680,-1.23562441021204,0.008363281,-0.00783240795135498,0.2,0.001,988.1091203689575,140,0.041015625,368.09381103515625,-0.012477791169658303
98.33333333333333,-121.94103602083334,37,1,4736,2675,-1.2305390387773514,0.0471323,0.047843337059020996,0.2,0.001,158.23805904388428,144,0.236328125,43.22508239746094,-0.023615077137947083
98.87755102040816,-124.17735910204082,38,1,4864,2675,-0.9234824068844318,0.056833275,0.027696192264556885,0.2,0.001,155.36207342147827,148,0.486328125,80.09288024902344,-0.03197464533150196
98.88,-121.6879723,39,1,4992,2673,-1.0348438657820225,0.025920494,0.1896558403968811,0.2,0.001,858.9865074157715,152,0.240234375,262.2987365722656,7.909629493951797e-05
99.84313725490196,-130.9792580980392,40,1,5120,2666,-0.9412210918962955,0.0011649812,0.5114909410476685,0.2,0.001,193.5644040107727,156,0.0,71.34272766113281,-0.01025319064501673
100.88461538461539,-134.89650307692307,41,1,5248,2664,-0.6576620154082775,0.0033900319,0.09625452756881714,0.2,0.001,10124.989624023438,160,0.0234375,3704.032470703125,-0.004624713095836341
101.0754716981132,-135.29619913207546,42,2,5376,2664,-0.6723209396004677,0.000103711616,0.28884077072143555,0.2,0.001,1717.9786834716797,164,0.0,702.0280151367188,-0.0003514172276481986
101.0754716981132,-135.29619913207546,43,2,5504,2663,-1.1905628591775894,0.008213653,0.04126077890396118,0.2,0.001,267.97992610931396,168,0.05078125,122.97476959228516,-0.014842485194094479
102.9074074074074,-135.6347894074074,44,2,5632,2656,-1.1410274729132652,0.005457056,0.06393885612487793,0.2,0.001,165.48668479919434,172,0.025390625,74.91092681884766,-0.010074848192743957
